rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss
56.2813345,2960,4,0,3022,180.25,,,,,,
27.331486374999997,4496,8,1,3027,227.5,,,,,,
47.611027538461535,4800,12,1,2976,287.53846153846155,,,,,,
41.770207187500006,5296,16,1,2939,276.6875,,,,,,
32.29072955,7480,20,2,2971,257.6,,,,,,
34.520985708333335,8592,24,2,2917,287.7083333333333,,,,,,
23.745066607142856,9968,28,3,2933,308.25,,,,,,
29.061580406250002,10728,32,5,1935,298.65625,64,-5.085048526525497,0.001,0.9536256808787584,4.774102844297886,-0.23992845229804516
35.05951944444445,11696,36,8,1424,296.8611111111111,192,-8.264138147234917,0.001,0.8390905875712633,5.83288018964231,-0.8807335011661053
48.4058517,14936,40,16,924,298.35,608,-18.58680522441864,0.001,0.5604310650378466,3.753151301294565,-2.6382011100649834
82.14226986363637,15688,44,18,861,325.77272727272725,704,-20.345323383808136,0.001,0.5122393611818552,4.028198644518852,-2.983347252011299
90.83292733333333,16936,48,21,791,321.4166666666667,864,-23.036182403564453,0.001,0.4421890778467059,3.7452829405665398,-3.4710337072610855
101.16251955769232,17928,52,24,746,321.15384615384613,992,-24.574423909187317,0.001,0.3935029814019799,4.365588665008545,-3.9498331919312477
107.34233116071428,20864,56,31,662,326.67857142857144,1344,-27.59329044818878,0.001,0.2904275618493557,3.8549134358763695,-4.349279001355171
120.61977438333335,21736,60,33,639,335.3666666666667,1440,-28.059913873672485,0.001,0.26901579089462757,4.185823313891888,-4.357346475124359
128.41114632812503,25136,64,45,546,342.96875,1888,-29.86914050579071,0.001,0.1943511301651597,4.522012032568455,-3.8297482430934906
136.6020451176471,25816,68,47,538,349.6470588235294,1952,-29.903165638446808,0.001,0.18674711510539055,4.889965429902077,-3.8251089230179787
145.0915688611111,26840,72,51,525,355.65277777777777,2080,-30.1563663482666,0.001,0.17223253613337874,5.384560093283653,-3.715404249727726
146.77004210526317,30104,76,58,510,365.85526315789474,2496,-30.942643105983734,0.001,0.13604289013892412,4.795695908367634,-3.2060938514769077
149.76187810000002,31168,80,61,506,364.1875,2624,-31.3804349899292,0.001,0.12717889482155442,4.952928811311722,-2.685074809938669
152.62279395238096,32544,84,65,494,370.32142857142856,2816,-31.195073544979095,0.001,0.11582481488585472,4.971500039100647,-2.6022345013916492
157.44437711363636,35488,88,73,485,379.0,3168,-30.39522385597229,0.001,0.09824821702204645,5.890564166009426,-2.02158953435719
157.64234848913043,36448,92,75,481,379.39130434782606,3296,-30.56090873479843,0.001,0.0938202072866261,5.999592870473862,-1.8885406660847366
156.38996742708335,39872,96,83,476,388.3645833333333,3712,-29.717045783996582,0.001,0.08383974526077509,6.557109788060188,-1.3002961426973343
159.03878579000002,41248,100,87,471,396.83,3904,-29.68913561105728,0.001,0.07914149528369308,6.189641632139683,-1.1688160365447402
163.95895550999998,44336,104,96,457,408.46,4288,-29.568123638629913,0.001,0.07309294934384525,7.5964407324790955,-0.29894511797465384
