time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
2960,2928,4,56.2813345,1,180.25,,,,,,
4496,3054,8,27.331486374999997,1,227.5,,,,,,
4800,3030,12,47.611027538461535,1,287.53846153846155,,,,,,
5296,3033,16,41.770207187500006,1,276.6875,,,,,,
7480,3132,20,32.29072955,2,257.6,,,,,,
8592,3148,24,34.520985708333335,2,287.7083333333333,,,,,,
9968,3168,28,23.745066607142856,3,308.25,,,,,,
10736,2039,32,28.55611445454545,5,290.8484848484849,0.0003,-0.07202801923267543,0.9858431480824947,64,4.429954322054982,-4.798470616340637
11304,1559,36,31.487158833333336,7,282.6388888888889,0.0003,-0.2174998871050775,0.9578424654901028,160,5.810271004214883,-7.535095170140266
11872,1379,40,29.775437175,8,278.55,0.0003,-0.3139542741701007,0.9396308213472366,224,7.424927111715078,-9.432977318763733
15272,864,44,45.77258788636364,17,292.40909090909093,0.0003,-0.9038022253662348,0.8303520232439041,640,6.084294959902763,-21.741116642951965
16336,796,48,60.74264204166667,20,298.8958333333333,0.0003,-1.063398864120245,0.8000238817185163,768,6.9731680527329445,-25.264446258544922
17096,757,52,71.4669483076923,22,301.9423076923077,0.0003,-1.1811403892934322,0.7781780418008566,864,5.835308153182268,-27.85678744316101
20904,628,56,99.62295523214286,33,323.23214285714283,0.0003,-1.726367972791195,0.6785830743610859,1344,5.9874562099576,-38.16068363189697
21696,606,60,108.78245061666667,35,332.15,0.0003,-1.8298281580209732,0.6604741346091032,1440,6.097034238278866,-39.606810092926025
23440,560,64,121.01474146875,41,340.515625,0.0003,-2.0747122764587402,0.6201656702905893,1664,6.104182727634907,-42.634480357170105
25936,509,68,123.20230647058824,50,352.86764705882354,0.0003,-2.4135863855481148,0.5669621378183365,1984,6.457641810178757,-45.24455404281616
28160,485,72,129.21901555555553,58,360.9861111111111,0.0003,-2.682246394455433,0.5273295752704144,2240,6.617801740765572,-46.10115623474121
30504,468,76,138.02882828947367,65,373.5657894736842,0.0003,-3.0105968192219734,0.48170081060379744,2560,5.426163591444492,-46.52858304977417
32744,460,80,140.023603375,71,377.9625,0.0003,-3.257615864276886,0.4479797622188926,2816,6.642998784780502,-46.20953178405762
34736,446,84,144.25808254761907,77,388.5357142857143,0.0003,-3.503193698823452,0.4167461870238185,3072,6.252552270889282,-45.639697194099426
37416,433,88,145.43179719318184,86,393.8068181818182,0.0003,-3.736736312508583,0.3774205204099417,3424,6.447884202003479,-44.032705903053284
39312,430,92,151.58490670652174,91,402.7717391304348,0.0003,-3.883224032819271,0.35475230403244495,3648,6.97185043990612,-42.60528242588043
41056,427,96,153.61100842708333,95,403.7395833333333,0.0003,-4.013689830899239,0.3336118496954441,3872,6.240195378661156,-41.33783173561096
41512,426,100,150.81279566999999,97,402.38,0.0003,-4.046180464327335,0.32781044486910105,3936,6.578006282448769,-41.04223692417145
45656,415,104,156.13426818,109,419.17,0.0003,-4.357441738247871,0.2847657725214958,4448,6.300001963973045,-38.250433802604675
46312,414,108,165.20764807,111,432.18,0.0003,-4.328371480107307,0.27983051910996437,4512,5.629636079072952,-38.18716609477997
49248,402,112,172.86914922999998,122,437.42,0.0003,-4.3162815272808075,0.2523934990167618,4896,5.819237053394318,-36.37727189064026
50696,395,116,179.81951901999997,128,443.27,0.0003,-4.422847390174866,0.23996558645740151,5088,6.252088859677315,-35.37441575527191
54048,387,120,191.61890636,139,460.02,0.0003,-4.514225572347641,0.21543431794270873,5504,5.467202179133892,-34.01840138435364
55496,387,124,199.36746328,143,466.49,0.0003,-4.346720352768898,0.20666581206023693,5664,5.501296736299992,-33.254044234752655
58848,386,128,215.21513429999996,152,473.23,0.0003,-4.2714419439435005,0.1864738897420466,6080,5.99974063038826,-32.474547386169434
60296,386,132,222.58983739999996,155,487.97,0.0003,-4.140831246972084,0.1779503058642149,6272,5.0512063428759575,-31.833372592926025
60712,385,136,225.30499914,157,494.18,0.0003,-4.156662799417973,0.17520337365567684,6336,5.092597335577011,-31.74655330181122
64856,383,140,231.33843138,169,508.51,0.0003,-4.315864987671375,0.15407972689718008,6848,4.847761332988739,-30.212179243564606
65512,383,144,225.30454655999998,170,515.27,0.0003,-4.344139814376831,0.15155824227258563,6912,4.962172567844391,-29.47162216901779
68928,384,148,225.84113784999997,179,521.69,0.0003,-4.53232192248106,0.13478214293718338,7360,4.9607576578855515,-27.965786516666412
70312,385,152,233.57453566999996,182,532.15,0.0003,-4.374572932720184,0.12935975939035416,7520,5.179176568984985,-27.18957644701004
72816,386,156,221.55427601000002,188,521.13,0.0003,-4.4517723843455315,0.11920310463756323,7840,4.9089426547288895,-25.919164896011353
74656,386,160,222.24868871,193,526.85,0.0003,-4.262933246791363,0.11272704787552357,8064,5.0639291778206825,-25.08345890045166
77616,385,164,219.42161803999997,201,532.21,0.0003,-3.592525191605091,0.10320522356778383,8448,5.279294691979885,-24.55956608057022
79256,385,168,219.71915651000003,205,528.26,0.0003,-3.3335464149713516,0.09889970277436078,8640,5.099315710365772,-23.78086167573929
81232,385,172,221.64905040999997,210,532.3,0.0003,-3.1228093579411507,0.09372110897675157,8896,5.662981107831001,-23.71260917186737
84056,386,176,219.07251322000005,217,532.3,0.0003,-2.660614911466837,0.0874716208782047,9248,5.259538434445858,-23.22689586877823
86032,386,180,219.79268488999998,222,537.84,0.0003,-2.2256472054868937,0.08349591121077538,9504,5.6365422531962395,-23.020980656147003
87648,386,184,219.11424825000006,226,533.2,0.0003,-2.221802417188883,0.08060052036307752,9696,5.264115184545517,-22.87924736738205
89168,387,188,219.90799832999997,230,527.64,0.0003,-2.2136628665030003,0.07798928674310446,9888,5.286526069045067,-22.666747331619263
91792,388,192,214.67072295000003,236,519.13,0.0003,-1.247329625301063,0.07414089911617339,10208,5.70714795589447,-22.81405508518219
92720,387,196,213.75724235,239,520.58,0.0003,-1.4321547616273165,0.07276906026527286,10336,5.755100421607494,-22.561955988407135
94064,387,200,222.26735614,242,525.43,0.0003,-1.5654394417069852,0.07094261236488819,10496,6.217015892267227,-22.117526948451996
96984,388,204,222.49662248999994,249,519.62,0.0003,-1.1738046538084745,0.06738209375180304,10848,6.17673160135746,-22.256274342536926
98456,387,208,221.96999593,254,519.62,0.0003,-1.5530216570477933,0.06537677766755223,11040,6.706479199230671,-21.717137932777405
101784,386,212,218.83500417999997,263,525.2,0.0003,-1.309236643370241,0.060784164583310485,11456,6.351814657449722,-20.67534840106964
103256,386,216,223.46716831999998,267,530.46,0.0003,-0.4577618616167456,0.05936946382280439,11648,6.629306733608246,-20.96414417028427
105824,386,220,218.61961987000004,274,518.91,0.0003,-0.7743366099894047,0.05717398994602263,11968,7.382917046546936,-20.697818398475647
107120,386,224,219.88433616999995,277,518.51,0.0003,-0.7533268188126385,0.05611875164322555,12128,5.998667575418949,-20.56313806772232
108248,386,228,212.94748408999996,280,508.94,0.0003,-0.33167871553450823,0.055218495428562164,12256,6.84469348192215,-20.86752438545227
110360,386,232,212.14651157,285,502.48,0.0003,-0.23481875867582858,0.053103976882994175,12544,8.044040001928806,-20.44118046760559
111384,386,236,216.54604358000003,288,507.11,0.0003,0.09766795113682747,0.05268832284491509,12672,8.306357383728027,-20.479661524295807
113768,386,240,225.47655127000002,293,496.66,0.0003,-0.3961212614085525,0.05189302086364478,12960,7.373334400355816,-20.8884397149086
115336,387,244,233.93474494000003,297,492.62,0.0003,-0.1746556074358523,0.05134876014199108,13152,7.869998671114445,-20.29000985622406
116864,387,248,233.60668174000003,301,485.02,0.0003,-0.2554124537855387,0.05092319077812135,13344,7.667674578726292,-20.827342450618744
118784,387,252,230.50404391000004,306,481.19,0.0003,-0.5375436153262854,0.050490388995967805,13568,6.739115849137306,-20.569474399089813
121664,386,256,232.79048327000004,315,492.21,0.0003,-0.1688290301244706,0.05013442994095385,13952,7.888461045920849,-20.677445828914642
122952,385,260,230.36080187000005,318,486.84,0.0003,-0.03441277029924095,0.04999094852246344,14112,9.11853902041912,-21.25546681880951
124688,384,264,241.15181147999996,324,480.46,0.0003,-0.8984462069347501,0.04926117020659149,14336,7.869896098971367,-20.982652068138123
125784,384,268,242.70696307999998,326,472.92,0.0003,-0.1590368659235537,0.048791143111884594,14464,8.171387061476707,-21.406323313713074
128272,384,272,242.78099522999997,333,468.24,0.0003,-0.20352238789200783,0.04832167364656925,14784,8.493587888777256,-21.325490057468414
130064,384,276,242.30299713999997,338,468.24,0.0003,0.08499431912787259,0.04854760295711458,15008,7.623324103653431,-21.33089989423752
132072,384,280,247.32622935000006,343,458.8,0.0003,-0.015922230668365955,0.04819788073655218,15232,8.788494557142258,-21.47305142879486
133184,383,284,246.58544380999996,347,458.81,0.0003,-0.11188714019954205,0.04802561504766345,15392,9.075916066765785,-21.814364969730377
134864,383,288,252.2075405,352,456.1,0.0003,-0.1748580562416464,0.04845914768520743,15584,8.323012292385101,-21.981684267520905
135592,382,292,253.24239188000004,354,454.12,0.0003,0.05099679762497544,0.048479977645911276,15680,8.490126959979534,-21.851713836193085
137536,382,296,259.55887308000007,359,450.99,0.0003,0.17117284843698144,0.04883676359895617,15936,9.333079114556313,-22.227903068065643
139664,383,300,253.55098449999997,364,445.58,0.0003,-0.3851516032591462,0.048334652092307806,16192,10.616444185376167,-22.239245057106018
140184,383,304,259.48897439000007,365,444.52,0.0003,0.010760416742414236,0.048057594103738666,16256,9.505016595125198,-22.624805331230164
144072,384,308,260.12325436000003,375,441.55,0.0003,0.01914827898144722,0.04595180682372302,16736,10.20503956079483,-22.460496068000793
144560,383,312,258.03323886000004,376,441.55,0.0003,-0.604146090336144,0.045921662356704473,16800,10.738839715719223,-22.66464191675186
148872,382,316,250.99861896999994,389,441.55,0.0003,-0.40878426004201174,0.04652543272823095,17344,11.711952969431877,-22.340864658355713
149360,382,320,250.05476769999993,390,453.1,0.0003,-0.3810105537995696,0.04631968669127673,17408,10.147483065724373,-22.514092981815338
152280,382,324,243.10268026999998,397,444.78,0.0003,0.10262350435368717,0.044731222675181925,17760,10.312151096761227,-22.31025117635727
154128,382,328,240.78664563999996,403,454.35,0.0003,-0.8438568157143891,0.04395093733910471,18016,10.461611211299896,-22.403700411319733
155176,382,332,242.45932745,405,451.96,0.0003,-0.4978444913867861,0.042872277088463306,18144,10.530400887131691,-22.17916065454483
158088,382,336,245.44605100999996,413,451.71,0.0003,-0.709497090196237,0.0407822075067088,18496,10.478118300437927,-21.873225569725037
159016,381,340,234.66663089000002,416,462.16,0.0003,-0.22718267748132348,0.040410064277239144,18624,10.11912128329277,-21.506235361099243
162440,382,344,233.82842449999995,425,462.49,0.0003,0.06315682083368301,0.0409123245626688,19040,11.220584772527218,-21.83946567773819
163816,382,348,231.77529859999999,428,472.86,0.0003,0.07034956361167133,0.0409716913709417,19200,10.4934748634696,-21.90530627965927
165592,382,352,234.93471565999997,433,467.79,0.0003,-0.09117207699455321,0.04146313248202205,19424,11.541675589978695,-22.227518558502197
167808,382,356,233.09111156,438,467.79,0.0003,0.05981737654656172,0.0416187351802364,19712,11.95371425151825,-21.814008951187134
170040,382,360,235.01757293999998,444,470.4,0.0003,-0.22699758899398148,0.0410587863298133,20000,9.544576868414879,-21.780851900577545
172488,383,364,232.72024569999996,449,474.3,0.0003,-0.7558491921517998,0.040579725755378604,20288,10.13440790772438,-21.21873927116394
174320,383,368,225.32716641000002,454,482.03,0.0003,0.003950560465455055,0.039873108034953475,20512,10.68959415704012,-21.507917761802673
176280,384,372,224.11558359000006,458,481.91,0.0003,-0.2552916374988854,0.03979851515032351,20768,10.111550599336624,-21.046802580356598
179120,384,376,222.37395049999998,465,481.91,0.0003,-0.18567823828198016,0.03896907903254032,21120,10.927088215947151,-21.997048437595367
180872,384,380,217.74298217999996,469,487.51,0.0003,-0.1640585545101203,0.038766041747294366,21344,11.566460683941841,-20.924669444561005
182088,385,384,218.81317599000002,472,488.65,0.0003,-0.04886888060718775,0.03841671044938266,21504,10.73169033229351,-21.16436207294464
183160,385,388,213.96621984,475,489.4,0.0003,0.9904090175405145,0.038345653912983835,21632,10.377060770988464,-21.150039672851562
185880,385,392,218.12505262000002,482,491.03,0.0003,0.03953232150524855,0.038554643746465445,21984,10.460987001657486,-21.254280030727386
186888,385,396,213.08190596,485,497.1,0.0003,0.6148799667134881,0.03845289698801935,22112,9.237052977085114,-21.35188663005829
190640,385,400,214.20733,494,503.63,0.0003,-0.34032167633995414,0.03757255268283188,22560,9.461530968546867,-20.730564057826996
