episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,352,35.65,44,482,47.1,1,0,1,0.206,0.0,0.0,0.0
2,2136,52.02,267,461,45.0,1,0,1,0.172,0.0,0.0,0.0
3,2456,111.21,307,507,49.5,1,0,1,0.102,0.0,0.0,0.0
4,2960,26.23,103,222,21.7,1,0,1,0.129,0.0,0.0,0.0
5,3064,2.37,76,432,42.2,1,0,1,0.191,0.0,0.0,0.0
6,3360,-88.78,420,282,27.5,1,0,1,0.144,0.0,0.0,0.0
7,3688,93.02,461,370,36.1,1,0,1,0.149,0.0,0.0,0.0
8,4496,-13.08,142,285,27.8,1,0,1,0.129,0.0,0.0,0.0
9,4640,217.63,580,631,61.6,1,0,1,0.063,0.0,0.0,0.0
10,4712,-17.5,9,407,39.7,1,0,1,0.189,0.0,0.0,0.0
11,4720,-33.94,129,389,38.0,1,0,1,0.146,0.0,0.0,0.0
12,4800,195.4,600,483,47.2,1,0,0,1.984,0.0,0.0,0.0
13,4800,38.7,600,486,47.5,1,0,0,1.589,0.0,0.0,0.0
14,5064,8.88,71,188,18.4,1,0,1,0.153,0.0,0.0,0.0
15,5152,53.35,600,475,46.4,1,0,0,0.407,0.0,0.0,0.0
16,5296,-12.85,18,200,19.5,1,0,1,0.156,0.0,0.0,0.0
17,5792,-2.35,134,408,39.8,1,0,1,0.098,0.0,0.0,0.0
18,6064,86.37,96,475,46.4,1,0,1,0.12,0.0,0.0,0.0
19,7072,-35.68,160,269,26.3,1,0,1,0.185,0.0,0.0,0.0
20,7480,-70.85,335,204,19.9,1,0,1,0.082,0.0,0.0,0.0
21,7760,176.05,600,566,55.3,1,0,0,0.869,0.0,0.0,0.0
22,7864,35.2,600,459,44.8,1,0,0,0.262,0.0,0.0,0.0
23,8376,-24.18,112,273,26.7,1,0,1,0.13,0.0,0.0,0.0
24,8592,-4.37,441,442,43.2,1,0,1,0.172,0.0,0.0,0.0
25,9264,-79.84,558,279,27.2,1,0,1,0.191,0.0,0.0,0.0
26,9512,-43.33,600,450,43.9,1,0,0,1.346,0.0,0.0,0.0
27,9904,-8.25,80,207,20.2,1,0,1,0.187,0.0,0.0,0.0
28,9968,-32.22,488,225,22.0,1,0,1,0.171,0.0,0.0,0.0
29,10136,11.85,284,306,29.9,1,0,1,0.173,0.0,0.0,0.0
30,10408,10.35,112,204,19.9,1,0,1,0.132,0.0,-3.0556,6.6947
31,10472,134.52,262,573,56.0,1,0,1,0.2,0.0,-3.0556,6.6947
32,10736,96.55,268,514,50.2,1,0,1,0.144,0.0,-4.7985,4.43
33,10736,24.22,41,455,44.4,1,0,1,0.019,0.0,-4.7985,4.43
34,10816,139.24,382,565,55.2,1,0,1,0.174,0.0,-5.6716,6.4306
35,10976,35.85,134,376,36.7,1,0,1,0.153,0.0,-5.6716,6.4306
36,11304,16.1,61,447,43.7,1,0,1,0.161,0.0,-7.5351,5.8103
37,11384,7.02,51,384,37.5,1,0,1,0.165,0.0,0.0,0.0
38,11512,-43.43,193,192,18.8,1,0,1,0.167,0.0,0.0,0.0
39,11720,-19.06,123,201,19.6,1,0,1,0.191,0.0,-8.4827,6.7925
40,11872,112.95,600,498,48.6,1,0,0,1.164,0.0,-9.433,7.4249
41,13248,76.58,217,518,50.6,1,0,1,0.174,0.0,-14.1827,7.4163
42,13840,181.45,307,522,51.0,2,0,1,0.206,0.0,-17.0346,6.8112
43,14936,291.55,600,601,58.7,1,0,0,1.575,0.0,-20.8177,7.0299
44,15272,273.4,600,501,48.9,1,0,0,1.24,0.0,-21.7411,6.0843
45,15536,354.6,600,666,65.0,1,0,0,1.828,0.0,-22.6733,6.853
46,16104,358.99,600,737,72.0,2,0,0,1.008,0.0,-24.4349,6.1624
47,16120,3.22,106,208,20.3,1,0,1,0.185,0.0,-24.4349,6.1624
48,16336,184.84,175,494,48.2,1,0,1,0.098,0.0,-25.2644,6.9732
49,16520,291.6,600,661,64.6,2,0,0,1.496,0.0,-26.1675,6.9048
50,16672,444.77,600,744,72.7,2,0,0,1.171,0.0,-27.1037,7.0364
51,16776,58.62,82,235,22.9,1,0,1,0.157,0.0,-27.1037,7.0364
52,17096,5.64,72,199,19.4,1,0,1,0.206,0.0,-27.8568,5.8353
53,18048,559.36,600,846,82.6,3,0,0,1.541,0.0,-31.0184,6.401
54,18640,514.09,600,809,79.0,3,0,0,1.597,0.0,-32.5321,6.8944
55,20336,319.4,600,678,66.2,2,0,0,1.502,0.0,-37.0169,6.5863
56,20904,469.75,600,862,84.2,3,0,0,1.783,0.0,-38.1607,5.9875
57,21136,188.5,600,655,64.0,2,0,0,1.77,0.0,-38.7175,5.8095
58,21472,256.2,600,712,69.5,2,0,0,1.755,0.0,-39.1529,5.7573
59,21576,517.3,600,864,84.4,4,0,0,1.758,0.0,-39.6068,6.097
60,21696,-13.94,28,185,18.1,1,0,1,0.137,0.0,-39.6068,6.097
61,21896,413.48,600,809,79.0,3,0,0,2.016,0.0,-40.0815,5.4128
62,22848,285.5,600,688,67.2,2,0,0,1.536,0.0,-41.9557,5.7765
63,23360,129.73,64,513,50.1,2,0,1,0.167,0.0,-42.6345,6.1042
64,23440,389.28,600,793,77.4,3,0,0,1.513,0.0,-42.6345,6.1042
65,24912,-19.71,402,213,20.8,1,0,1,0.059,0.0,-44.5171,6.6055
66,25136,193.62,600,666,65.0,2,0,0,1.723,0.0,-44.689,6.517
67,25704,239.3,600,671,65.5,2,0,0,1.899,0.0,-45.1022,6.5337
68,25936,219.6,600,705,68.8,2,0,0,1.847,0.0,-45.2446,6.4576
69,26376,425.9,600,799,78.0,3,0,0,1.557,0.0,-45.5215,6.4263
70,26696,159.2,600,735,71.8,2,0,0,2.119,0.0,-45.7684,6.7095
71,27944,-17.49,196,212,20.7,1,0,1,0.159,0.0,-46.1012,6.6178
72,28160,358.4,600,800,78.1,3,0,0,2.383,0.0,-46.1012,6.6178
73,28240,381.75,600,869,84.9,3,0,0,2.382,0.0,-46.1799,6.8016
74,29712,196.8,600,690,67.4,2,0,0,1.83,0.0,-46.5793,6.9448
75,29936,292.63,600,800,78.1,3,0,0,1.901,0.0,-46.5793,6.9448
76,30504,315.24,600,807,78.8,3,0,0,1.413,0.0,-46.5286,5.4262
77,30736,-26.32,600,209,20.4,1,0,0,1.396,0.0,-46.4979,6.4044
78,30872,81.33,46,512,50.0,1,0,1,0.087,0.0,-46.4979,6.4044
79,31496,421.89,600,818,79.9,3,0,0,1.967,0.0,-46.4011,6.4326
80,32744,234.8,600,799,78.0,2,0,0,2.586,0.0,-46.2095,6.643
81,32960,224.1,600,734,71.7,2,0,0,2.514,0.0,-46.2524,6.3398
82,33040,209.2,600,667,65.1,1,0,0,1.865,0.0,-46.2593,6.8033
83,34512,185.7,600,729,71.2,2,0,0,1.927,0.0,-45.6098,5.7301
84,34736,296.79,600,843,82.3,3,0,0,1.947,0.0,-45.6397,6.2526
85,35536,230.2,600,692,67.6,2,0,0,1.665,0.0,-45.1621,5.4859
86,35672,173.77,600,687,67.1,2,0,0,1.245,0.0,-44.9103,5.865
87,36296,180.7,600,737,72.0,2,0,0,1.924,0.0,-44.9461,6.828
88,37416,95.65,218,509,49.7,2,0,1,0.193,0.0,-44.0327,6.4479
89,37544,182.11,600,686,67.0,1,0,0,2.431,0.0,0.0,0.0
90,37760,406.11,600,888,86.7,4,0,0,1.913,0.0,-43.8439,5.9361
91,37840,295.14,600,799,78.0,2,0,0,1.876,0.0,-43.8439,5.9361
92,39312,264.46,600,823,80.4,3,0,0,1.739,0.0,-42.6053,6.9719
93,39536,260.0,600,759,74.1,2,0,0,2.08,0.0,-42.3684,6.0508
94,40336,366.48,600,833,81.3,3,0,0,2.441,0.0,-41.9841,6.1418
95,40856,42.57,414,520,50.8,2,0,1,0.189,0.0,-41.7166,6.0049
96,41056,131.8,90,556,54.3,2,0,1,0.16,0.0,-41.3378,6.2402
97,41096,308.99,600,855,83.5,4,0,0,1.814,0.0,0.0,0.0
98,41120,-11.65,410,225,22.0,1,0,1,0.174,0.0,0.0,0.0
99,41264,23.84,438,248,24.2,1,0,1,0.149,0.0,-41.2208,7.235
100,41512,13.45,31,215,21.0,1,0,1,0.163,0.0,-41.0422,6.578
101,42216,249.61,600,763,74.5,2,0,0,2.01,0.0,-40.5569,6.2831
102,44112,61.49,600,496,48.4,2,0,0,0.824,0.0,-39.2017,5.9972
103,44336,220.8,600,770,75.2,2,0,0,1.711,0.0,-39.0729,6.6472
104,45656,225.37,600,764,74.6,3,0,0,1.911,0.0,-38.2504,6.3
105,45856,98.52,600,524,51.2,3,0,0,1.041,0.0,-38.0698,6.4267
106,45896,220.4,600,788,77.0,2,0,0,2.131,0.0,-38.0698,6.4267
107,45920,335.55,600,842,82.2,3,0,0,1.948,0.0,-38.0698,6.4267
108,46312,246.4,600,763,74.5,2,0,0,2.124,0.0,-38.1872,5.6296
109,47016,137.7,600,679,66.3,1,0,0,2.023,0.0,-37.5508,5.9377
110,48912,361.46,600,843,82.3,3,0,0,1.911,0.0,-36.3927,5.9529
111,49136,529.41,600,839,81.9,4,0,0,1.82,0.0,-36.3927,5.9529
112,49248,99.18,42,730,71.3,2,0,1,0.179,0.0,-36.3773,5.8192
113,49728,13.51,74,212,20.7,1,0,1,0.124,0.0,-36.0193,5.8761
114,50456,231.3,600,772,75.4,2,0,0,1.509,0.0,-35.5123,5.9858
115,50656,293.4,600,833,81.3,3,0,0,1.175,0.0,-35.5123,5.9858
116,50696,244.91,600,797,77.8,2,0,0,1.627,0.0,-35.3744,6.2521
117,50720,209.9,600,765,74.7,3,0,0,1.214,0.0,0.0,0.0
118,51112,283.27,600,832,81.2,3,0,0,2.274,0.0,-35.5133,5.6708
119,51816,317.49,600,839,81.9,3,0,0,1.936,0.0,-35.0615,5.7487
120,54048,346.78,600,837,81.7,3,0,0,1.383,0.0,-34.0184,5.4672
121,54528,172.5,600,746,72.9,2,0,0,1.516,0.0,-33.7519,5.3084
122,55256,307.32,600,846,82.6,4,0,0,2.534,0.0,-33.6264,5.3874
123,55456,189.86,600,776,75.8,3,0,0,2.761,0.0,-33.254,5.5013
124,55496,287.87,600,539,52.6,3,0,0,1.68,0.0,-33.254,5.5013
125,55520,250.93,600,857,83.7,4,0,0,0.873,0.0,0.0,0.0
126,55912,330.47,600,845,82.5,3,0,0,2.511,0.0,-33.2657,5.9676
127,56616,530.21,600,845,82.5,4,0,0,1.991,0.0,-32.8728,5.4192
128,58848,309.52,600,585,57.1,3,0,0,0.316,0.0,-32.4745,5.9997
129,59328,267.72,600,797,77.8,3,0,0,1.874,0.0,-32.004,5.6177
130,60056,237.39,600,805,78.6,3,0,0,1.203,0.0,-31.8313,5.102
131,60256,247.49,600,802,78.3,3,0,0,1.502,0.0,-31.8334,5.0512
132,60296,238.15,600,714,69.7,3,0,0,1.083,0.0,-31.8334,5.0512
133,60320,258.1,600,794,77.5,3,0,0,1.902,0.0,0.0,0.0
134,60464,5.72,21,219,21.4,1,0,1,0.0,0.0,-31.7754,5.0725
135,60464,3.16,18,181,17.7,1,0,1,0.086,0.0,-31.7754,5.0725
136,60712,219.94,600,780,76.2,3,0,0,1.32,0.0,-31.7466,5.0926
137,61416,271.52,600,813,79.4,3,0,0,1.768,0.0,-31.5846,5.2801
138,63648,126.1,600,680,66.4,2,0,0,1.316,0.0,-30.592,5.2226
139,64128,108.3,600,703,68.7,2,0,0,2.968,0.0,-30.34,5.3527
140,64856,154.9,600,684,66.8,2,0,0,1.856,0.0,-30.2122,4.8478
141,65056,33.8,600,495,48.3,2,0,0,0.937,0.0,-29.724,4.6174
142,65264,24.72,600,497,48.5,2,0,0,1.845,0.0,-29.724,4.6174
143,65264,58.2,600,680,66.4,2,0,0,2.114,0.0,-29.724,4.6174
144,65512,102.86,600,376,36.7,2,0,0,1.235,0.0,-29.4716,4.9622
145,66216,445.2,600,847,82.7,4,0,0,0.459,0.0,-29.3053,4.8168
146,67848,282.54,323,844,82.4,4,0,1,0.186,0.0,-28.4057,4.8693
147,68448,210.57,600,849,82.9,3,0,0,1.209,0.0,-28.2598,4.777
148,68928,17.01,600,499,48.7,2,0,0,1.498,0.0,-27.9658,4.9608
149,69656,459.88,600,1002,97.9,5,0,0,2.505,0.0,-27.396,5.1781
150,69856,302.34,600,851,83.1,3,0,0,0.898,0.0,-27.396,5.1781
151,70064,359.16,600,935,91.3,4,0,0,2.677,0.0,-27.4297,5.1373
152,70312,452.58,600,1004,98.0,5,0,0,0.537,0.0,-27.1896,5.1792
153,71016,319.33,600,850,83.0,4,0,0,1.443,0.0,-26.9019,4.9525
154,71632,117.59,77,569,55.6,2,0,1,0.173,0.0,-26.8378,4.46
155,72648,211.9,600,748,73.0,3,0,0,1.196,0.0,-26.1918,4.8501
156,72816,11.75,21,231,22.6,1,0,1,0.172,0.0,-25.9192,4.9089
157,73248,277.59,600,934,91.2,4,0,0,1.334,0.0,-25.5832,5.1441
158,73728,345.32,600,861,84.1,4,0,0,1.685,0.0,-25.5832,5.6253
159,74456,196.65,600,793,77.4,3,0,0,2.18,0.0,-25.3922,4.9696
160,74656,197.95,600,771,75.3,3,0,0,1.401,0.0,-25.0835,5.0639
161,74864,195.01,600,831,81.2,3,0,0,1.251,0.0,-25.2693,5.0173
162,75112,192.35,600,822,80.3,3,0,0,1.457,0.0,-25.2773,4.9595
163,76432,270.97,600,894,87.3,4,0,0,0.71,0.0,-24.7189,5.7294
164,77616,276.96,600,855,83.5,3,0,0,1.198,0.0,-24.5596,5.2793
165,77672,-19.98,7,437,42.7,1,0,1,0.201,0.0,0.0,0.0
166,78048,249.11,600,798,77.9,3,0,0,1.384,0.0,-24.3057,5.7371
167,78528,205.05,600,848,82.8,3,0,0,0.681,0.0,-24.0005,4.9496
168,79256,228.39,600,835,81.5,3,0,0,1.193,0.0,-23.7809,5.0993
169,79456,305.7,600,869,84.9,4,0,0,1.462,0.0,-23.7897,5.28
170,79664,284.81,600,861,84.1,4,0,0,1.044,0.0,-23.74,5.5665
171,79912,207.82,600,920,89.8,3,0,0,0.898,0.0,-23.73,4.7147
172,81232,320.67,600,925,90.3,4,0,0,1.016,0.0,-23.7126,5.663
173,82472,244.31,600,837,81.7,3,0,0,1.674,0.0,-23.4954,6.5103
174,82848,213.7,600,833,81.3,3,0,0,1.309,0.0,-23.3188,5.06
175,83328,166.98,600,833,81.3,3,0,0,1.078,0.0,-23.6557,5.1038
176,84056,303.77,600,889,86.8,3,0,0,1.328,0.0,-23.2269,5.2595
177,84256,185.71,600,765,74.7,2,0,0,1.216,0.0,-23.2397,5.1801
178,84464,125.29,600,728,71.1,3,0,0,1.35,0.0,-23.2397,5.1801
179,84712,214.32,600,788,77.0,3,0,0,1.239,0.0,-23.513,5.5795
180,86032,258.39,600,945,92.3,4,0,0,0.783,0.0,-23.021,5.6365
181,87272,185.25,600,915,89.4,3,0,0,0.464,0.0,-22.9756,5.0549
182,87344,220.16,386,934,91.2,3,0,1,0.196,0.0,-22.6994,5.4348
183,87512,214.62,350,851,83.1,4,0,1,0.166,0.0,-22.6994,5.4348
