time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef,train/ent_coef_loss
4,2960,3028,56.2813345,0,180.25,,,,,,
8,4496,2827,27.331486374999997,1,227.5,,,,,,
12,4800,2785,47.611027538461535,1,287.53846153846155,,,,,,
16,5296,2752,41.770207187500006,1,276.6875,,,,,,
20,7480,2754,32.29072955,2,257.6,,,,,,
24,8592,2739,34.520985708333335,3,287.7083333333333,,,,,,
28,9968,2714,23.745066607142856,3,308.25,,,,,,
32,10728,1815,29.248437968749997,5,298.65625,0.001,4.785721659660339,-5.125654026865959,64,0.9536256939172745,-0.23992479545995593
36,12160,1191,34.05392038888888,10,291.05555555555554,0.001,5.980011984705925,-10.037577331066132,256,0.7874370720237494,-1.187616016715765
40,13104,1006,40.730507925,13,289.875,0.001,6.07004414498806,-13.569937825202942,384,0.694338720291853,-1.7747142352163792
44,15688,827,73.62630397727274,18,318.0681818181818,0.001,4.29676553606987,-22.25580245256424,704,0.5134897641837597,-2.918431304395199
48,17496,747,91.55247079166668,23,330.4375,0.001,4.117525041103363,-26.457158088684082,928,0.4192340224981308,-3.542887233197689
52,19736,663,103.91082578846157,29,339.0192307692308,0.001,4.253246799111366,-30.750275552272797,1216,0.32657627016305923,-4.145714640617371
56,22296,605,120.80259714285715,36,355.4642857142857,0.001,4.5283995270729065,-34.248111844062805,1536,0.25412596948444843,-4.025463223457336
60,23320,592,129.73574323333335,39,362.3833333333333,0.001,4.726316809654236,-35.40385401248932,1664,0.23171047447249293,-3.9022905454039574
64,25496,568,132.80050012499999,44,365.09375,0.001,5.251584067940712,-37.15946936607361,1920,0.19519572658464313,-3.7995379716157913
68,27800,549,138.85159004411764,50,378.9117647058824,0.001,5.4197157472372055,-38.39735126495361,2208,0.1631722655147314,-3.345660910010338
72,30000,535,142.331905625,56,390.5416666666667,0.001,5.398958131670952,-39.399532198905945,2496,0.13925064634531736,-2.850096546113491
76,31760,527,145.49029957894734,60,391.6842105263158,0.001,5.501394271850586,-40.15208160877228,2720,0.1258950773626566,-2.4498666375875473
80,34344,512,153.1621298625,66,395.475,0.001,5.418131470680237,-40.38043701648712,3040,0.1112831518985331,-1.9391039498150349
84,35864,490,161.1492315595238,73,405.2142857142857,0.001,5.677361987531185,-40.13993167877197,3232,0.10388150089420378,-1.4662854671478271
88,37904,478,167.49866844318183,79,409.3636363636364,0.001,6.160057827830315,-40.00529170036316,3488,0.0960245484020561,-1.5494620352983475
92,39896,462,174.03676529347828,86,413.69565217391306,0.001,6.205294489860535,-39.84182846546173,3712,0.08905420545488596,-1.2673675315454602
96,41848,454,179.48830490625002,92,412.96875,0.001,6.670175522565842,-38.96777391433716,3968,0.08232500753365457,-1.5603390412870795
100,42304,450,182.79325092,93,414.56,0.001,6.875147148966789,-39.020090222358704,4032,0.08032398344948888,-1.2798704579472542
