time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/learning_rate
1,4,56.2813345,180.25,2960,2575,,,,,,
1,8,27.331486374999997,227.5,4496,2618,,,,,,
1,12,47.611027538461535,287.53846153846155,4800,2608,,,,,,
2,16,41.770207187500006,276.6875,5296,2606,,,,,,
2,20,32.29072955,257.6,7480,2591,,,,,,
3,24,34.520985708333335,287.7083333333333,8592,2598,,,,,,
3,28,23.745066607142856,308.25,9968,2610,,,,,,
6,32,26.8016341875,291.59375,10736,1758,64,6.348040044307709,-0.024023006670176983,0.9952550567686558,-3.0480929389595985,0.0001
7,36,31.548918222222216,282.05555555555554,11096,1416,128,6.540707882493734,-0.05636297375895083,0.9888990130275488,-5.579368993639946,0.0001
11,40,34.61400775,282.0,12064,1085,256,5.930408092215657,-0.12097492185421288,0.976318197324872,-9.879159659147263,0.0001
16,44,35.965006136363634,274.5681818181818,13624,822,448,8.451597068458796,-0.2177886231802404,0.9577580243349075,-16.724283695220947,0.0001
17,48,37.479992687499994,267.1666666666667,14064,795,480,9.342338152229786,-0.2336863544769585,0.9546989165246487,-17.870647132396698,0.0001
25,52,37.42744923076923,270.15384615384613,16176,624,768,12.569200873374939,-0.3785234373062849,0.9276050869375467,-27.932073056697845,0.0001
33,56,47.589327017857144,285.26785714285717,18016,533,992,11.683481652289629,-0.4897254891693592,0.9071088749915361,-35.39332056045532,0.0001
35,60,50.231754300000006,286.7,18424,524,1024,9.490387607365847,-0.5043886732310057,0.9042219650000334,-36.57100594043732,0.0001
43,64,56.395427640625,289.390625,20408,474,1280,12.60862835124135,-0.6229667514562607,0.8815770521759987,-44.87798094749451,0.0001
51,68,66.87755098529412,300.72058823529414,22872,448,1600,14.172263137996197,-0.7590606566518545,0.8544328045099974,-55.97741460800171,0.0001
55,72,79.27256320833332,309.4861111111111,24016,436,1728,20.03574961423874,-0.8110570926219225,0.8439182695001364,-59.93869936466217,0.0001
61,76,84.10895236842104,314.3157894736842,25776,422,1952,13.847915560007095,-0.899826917797327,0.8259335719048977,-67.35246753692627,0.0001
69,80,96.06290295,328.6,28256,409,2272,19.474842697381973,-1.0271978173404932,0.8009573556482792,-77.03745293617249,0.0001
75,84,103.96717960714287,341.5238095238095,30576,405,2560,15.116041108965874,-1.134474191814661,0.7791835740208626,-85.14876317977905,0.0001
81,88,107.13961523863637,347.09090909090907,32920,402,2848,15.594804614782333,-1.245432946830988,0.7580090444535017,-92.56994891166687,0.0001
88,92,114.33978480434781,358.0869565217391,35240,398,3136,20.553123772144318,-1.3451375886797905,0.7374137658625841,-98.8622260093689,0.0001
90,96,117.47574597916666,356.25,35832,395,3200,16.338872984051704,-1.3716691248118877,0.732919130474329,-100.33621859550476,0.0001
99,100,127.45835667,366.0,38416,386,3552,16.96032363176346,-1.4925504922866821,0.708706047385931,-107.59092807769775,0.0001
106,104,135.33320228,377.07,40624,379,3808,16.479938119649887,-1.581287618726492,0.6916241738945246,-112.45198726654053,0.0001
112,108,143.80394212,384.69,42520,377,4064,19.159690275788307,-1.6633935309946537,0.6749909967184067,-116.65335488319397,0.0001
117,112,151.28483021,389.75,44296,377,4288,21.850067377090454,-1.7167537957429886,0.6608090121299028,-120.11501622200012,0.0001
123,116,163.39171969,400.86,46816,379,4576,20.65502440929413,-1.803729698061943,0.6430208869278431,-124.1894965171814,0.0001
127,120,173.67886799,411.9,48440,379,4800,20.957124158740044,-1.8806749247014523,0.6295425835996866,-126.856849193573,0.0001
132,124,179.05689269,418.37,50352,379,5024,21.262867629528046,-1.9346417598426342,0.6162769328802824,-129.1048526763916,0.0001
140,128,189.33888130999995,419.41,52496,374,5312,21.49606916308403,-2.0266878604888916,0.5996236633509398,-130.55769276618958,0.0001
143,132,191.25511039,424.88,53896,374,5472,23.996192783117294,-2.0635409392416477,0.5905552636831999,-131.29499626159668,0.0001
151,136,200.34194652999997,440.65,56416,372,5792,21.441237598657608,-2.1955946683883667,0.5726672597229481,-132.95641231536865,0.0001
157,140,206.65268358,453.39,58696,372,6080,24.818193942308426,-2.28943183273077,0.5569200441241264,-133.3362579345703,0.0001
161,144,213.87288554,463.7,60208,372,6272,20.680607080459595,-2.372495375573635,0.5466117672622204,-133.9399390220642,0.0001
168,148,216.41909175,480.27,62840,373,6592,20.774012714624405,-2.4563213139772415,0.5298791714012623,-134.1273956298828,0.0001
173,152,220.17921464,492.03,65008,374,6848,22.653760462999344,-2.596148744225502,0.5167429316788912,-134.38124990463257,0.0001
181,156,226.5561911,496.76,67640,372,7200,25.253785580396652,-2.7216349095106125,0.49909037817269564,-132.42605018615723,0.0001
187,160,232.14733843999994,508.49,69808,372,7456,19.65360850095749,-2.857458673417568,0.48654600884765387,-131.75927114486694,0.0001
193,164,233.00243163999997,514.29,72112,372,7744,26.21298798918724,-2.987202651798725,0.4726956132799387,-130.37392663955688,0.0001
195,168,225.45875892000004,501.77,72632,372,7808,21.956379503011703,-3.0154974833130836,0.4696689788252115,-129.80482411384583,0.0001
200,172,227.16084031999998,507.43,74608,372,8064,25.749908566474915,-3.104457437992096,0.4578170143067837,-128.80837440490723,0.0001
207,176,228.58544761999997,515.38,77432,372,8416,23.254391491413116,-3.174353063106537,0.44197788275778294,-127.05409812927246,0.0001
211,180,219.78371337000002,504.59,79024,373,8608,23.220324754714966,-3.2764832451939583,0.43365657702088356,-125.39278078079224,0.0001
215,184,216.39903111000004,499.25,80416,372,8800,23.65563067793846,-3.346149265766144,0.4254590105265379,-124.46456384658813,0.0001
221,188,214.43445043,499.37,82632,373,9056,24.151194095611572,-3.3439349830150604,0.4149473374709487,-123.34020686149597,0.0001
224,192,209.16609215,493.55,83832,373,9216,24.16696859896183,-3.4698015972971916,0.4085535556077957,-122.02811789512634,0.0001
231,196,207.41215461,499.24,86512,374,9536,28.72403433918953,-3.390508934855461,0.39616256579756737,-120.74653172492981,0.0001
237,200,198.43485212999997,499.24,88624,373,9824,24.089670777320862,-3.5227390602231026,0.385411842726171,-118.92359018325806,0.0001
241,204,197.36207938000004,499.24,90016,373,9984,24.0238216817379,-3.6144679337739944,0.37948835268616676,-118.88589644432068,0.0001
247,208,191.91552367000003,499.68,92376,372,10272,25.642653435468674,-3.601219668984413,0.3689381368458271,-116.9221625328064,0.0001
255,212,188.25964897000003,505.44,94816,370,10592,23.248603105545044,-3.646392323076725,0.3577501783147454,-115.13670015335083,0.0001
262,216,179.40978667000002,505.44,97176,370,10880,24.78283140063286,-3.7196517288684845,0.34787952806800604,-114.40602421760559,0.0001
269,220,179.50103347999996,511.15,99616,369,11200,23.89883828163147,-3.8593744412064552,0.3373240800574422,-112.6765284538269,0.0001
276,224,176.52938843,511.15,101976,369,11488,23.222302585840225,-3.7662361189723015,0.3281913800165057,-112.0618622303009,0.0001
282,228,172.6049547,516.85,104416,369,11776,22.521500796079636,-3.7527271509170532,0.31943704187870026,-111.17076706886292,0.0001
