time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/std,train/policy_gradient_loss,train/loss,train/learning_rate
1,21.50270192,8192,1,5112,224.2,,,,,,,,,,,
2,79.1556945,16384,3,4186,297.1521739130435,-4.247625163197517,0.2,0.13280029296875,0.009754319,68.72100398540496,-0.0017156600952148438,10,0.994084358215332,-0.014511086765560321,28.427610397338867,0.0003
3,112.2411763880597,24576,6,3946,332.1194029850746,-4.226751706004142,0.2,0.0974853515625,0.009655166,82.99851055145264,0.16745144128799438,20,0.9854448437690735,-0.012814902639365754,33.013553619384766,0.0003
4,153.57828603409092,32768,8,3831,355.72727272727275,-4.204362243413925,0.2,0.04195556640625,0.005641084,112.70069704055786,0.24306702613830566,30,0.9794535636901855,-0.0076306034708977675,49.90568923950195,0.0003
5,181.57736071,40960,10,3764,384.09,-4.186203297972679,0.2,0.0578369140625,0.0073170685,97.11261253356933,0.26581496000289917,40,0.9738171696662903,-0.008766966387338471,48.954734802246094,0.0003
6,228.85082837000002,49152,13,3717,420.31,-4.174805024266243,0.2,0.03336181640625,0.0059560826,104.494855260849,0.47478359937667847,50,0.9726778864860535,-0.005815577982866671,40.01466369628906,0.0003
7,253.03156127,57344,15,3686,429.44,-4.168362921476364,0.2,0.0454833984375,0.006393249,107.39193172454834,0.4922831654548645,60,0.969333827495575,-0.0059565440402366224,50.14466857910156,0.0003
8,269.41379151,65536,17,3666,423.66,-4.156639632582665,0.2,0.0550048828125,0.006497741,109.39691405296325,0.6750509142875671,70,0.9651281237602234,-0.007601666498521809,49.894989013671875,0.0003
9,271.5840141,73728,20,3650,426.78,-4.146023029088974,0.2,0.065673828125,0.0060335603,119.0827263355255,0.7910477966070175,80,0.9629342555999756,-0.00739365161061869,56.87227249145508,0.0003
10,282.94659433,81920,22,3639,431.23,-4.140152868628502,0.2,0.0704833984375,0.0073266085,101.06780333518982,0.8627980649471283,90,0.9616756439208984,-0.007045629995991476,54.82320022583008,0.0003
11,290.80266802,90112,24,3627,438.85,-4.139176705479622,0.2,0.05770263671875,0.006356098,110.70337171554566,0.8586063981056213,100,0.9624900817871094,-0.0069234310823958365,50.50691604614258,0.0003
12,304.50582827999995,98304,27,3616,441.42,-4.134918642044068,0.2,0.05711669921875,0.005700515,95.16562819480896,0.8655396997928619,110,0.9590557217597961,-0.006866379508574027,47.57773971557617,0.0003
13,333.87142568,106496,29,3608,461.18,-4.127176916599273,0.2,0.044775390625,0.0050081406,81.7453510761261,0.8983195126056671,120,0.9567906260490417,-0.004580807604361326,32.02290725708008,0.0003
14,346.81296519000006,114688,31,3605,464.81,-4.118062695860862,0.2,0.05533447265625,0.007797271,102.1897102355957,0.9090160056948662,130,0.9539899826049805,-0.004410202254075557,51.9615364074707,0.0003
15,372.88620942999995,122880,34,3598,466.7,-4.108336228132248,0.2,0.05687255859375,0.0056148544,137.693874168396,0.8848336562514305,140,0.9512719511985779,-0.005339500321861123,48.2411003112793,0.0003
16,361.2769999900001,131072,36,3592,446.0,-4.0980664670467375,0.2,0.0876953125,0.008219527,109.4823263168335,0.9110174551606178,150,0.9472211003303528,-0.0071602070122025905,47.52404022216797,0.0003
17,362.47337887000003,139264,38,3588,442.42,-4.084140747785568,0.2,0.05386962890625,0.0030868922,131.89108366966246,0.9001033306121826,160,0.9427066445350647,-0.005627890321193263,59.772090911865234,0.0003
18,352.05068104,147456,41,3583,430.29,-4.0725121140480045,0.2,0.064453125,0.00553252,74.93808562755585,0.9322340935468674,170,0.9402744174003601,-0.005583258319529705,31.257165908813477,0.0003
19,341.06767448000005,155648,43,3578,411.54,-4.064688500761986,0.2,0.0631591796875,0.0064888336,92.3403737783432,0.9368990063667297,180,0.9369414448738098,-0.0062424784002359955,36.45742416381836,0.0003
20,334.98194237,163840,45,3575,430.35,-4.053608605265618,0.2,0.05341796875,0.0052543515,124.08044085502624,0.9132608845829964,190,0.934180736541748,-0.004441045616113115,65.28870391845703,0.0003
21,341.64634188,172032,48,3573,416.71,-4.039562091231346,0.2,0.078125,0.010552706,90.98974361419678,0.935662105679512,200,0.927285373210907,-0.00579051311215153,36.51629638671875,0.0003
22,342.95365677,180224,50,3569,385.05,-4.019396030902863,0.2,0.06610107421875,0.0053381114,140.9486517906189,0.9226133301854134,210,0.9220574498176575,-0.006464244578091893,77.42332458496094,0.0003
23,345.70927156000005,188416,52,3560,366.5,-4.006382754445076,0.2,0.06619873046875,0.0068057696,146.6449966430664,0.9218989387154579,220,0.9191648364067078,-0.00718233691441128,79.94560241699219,0.0003
24,356.6927179500001,196608,55,3553,325.15,-3.99239811450243,0.2,0.05299072265625,0.007859893,169.25533213615418,0.9175506383180618,230,0.9136512875556946,-0.004528475919505582,68.04492950439453,0.0003
25,341.25017536,204800,57,3546,308.19,-3.9817855417728425,0.2,0.05174560546875,0.005064331,208.3860795021057,0.8990118205547333,240,0.9122225642204285,-0.0060183805733686315,110.87747192382812,0.0003
