time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/entropy_loss,train/learning_rate
5020,1,8192,224.2,21.50270192,1,,,,,,,,,,,
4136,3,16384,296.45652173913044,76.84405115217392,2,-0.0017156600952148438,0.13114013671875,0.009495446,28.385385513305664,10,0.2,-0.014457399232196622,68.72123501300811,0.9978722929954529,-4.254597097635269,0.0003
3902,6,24576,331.8805970149254,110.94304135820896,3,0.1286270022392273,0.094091796875,0.009466151,36.16987609863281,20,0.2,-0.012870878456305945,88.75330080986024,0.9917218089103699,-4.241747790575028,0.0003
3789,8,32768,361.5977011494253,143.4419731724138,4,0.1820662021636963,0.05933837890625,0.0062151277,47.64585494995117,30,0.2,-0.00782163496260182,100.26454343795777,0.9899939894676208,-4.2297080844640735,0.0003
3727,10,40960,379.13,162.26712498,5,0.22442954778671265,0.043505859375,0.0057472605,44.048553466796875,40,0.2,-0.007126047903875587,103.5627317905426,0.9905077815055847,-4.227869242429733,0.0003
3687,13,49152,411.51,211.54557401000002,6,0.4790511727333069,0.05784912109375,0.006329333,37.16008758544922,50,0.2,-0.008427362616930622,85.3325888633728,0.9910066723823547,-4.229076790809631,0.0003
3661,15,57344,439.16,249.23147848,7,0.6422441303730011,0.04737548828125,0.005579967,46.87861633300781,60,0.2,-0.00683958029403584,116.57725510597228,0.9918811917304993,-4.23132050037384,0.0003
3639,18,65536,449.01,261.76778025,8,0.7396328747272491,0.03287353515625,0.0044607995,41.4600944519043,70,0.2,-0.005078456172486767,94.06901650428772,0.9890129566192627,-4.22887014746666,0.0003
3626,20,73728,462.62,282.66239453,9,0.8155236691236496,0.04063720703125,0.0058496217,42.95793914794922,80,0.2,-0.006027686117158737,83.4746104478836,0.9887471199035645,-4.222735625505448,0.0003
3613,22,81920,470.82,289.47598076,10,0.8359197527170181,0.04210205078125,0.005274022,27.397499084472656,90,0.2,-0.0053445186640601605,88.75783078670501,0.9899304509162903,-4.224230489134788,0.0003
3604,25,90112,496.58,308.62644904,11,0.8862780332565308,0.04775390625,0.006646109,25.4512996673584,100,0.2,-0.006624682257825043,61.962492847442626,0.9903913140296936,-4.22765318453312,0.0003
3595,27,98304,489.43,303.44308909999995,12,0.893995612859726,0.0643310546875,0.007028328,38.637203216552734,110,0.2,-0.006988293727044947,87.55073268413544,0.990639865398407,-4.227488413453102,0.0003
3586,29,106496,479.32,306.22007962,13,0.8492471873760223,0.05628662109375,0.0071246345,59.31410598754883,120,0.2,-0.0063089608782320285,118.36104998588561,0.9908232688903809,-4.228057020902634,0.0003
3580,32,114688,476.65,314.81701956999996,14,0.8866776078939438,0.069482421875,0.00911436,40.859405517578125,130,0.2,-0.008654180322628236,89.68292617797852,0.988490879535675,-4.225299829244614,0.0003
3573,34,122880,496.52,344.7362699399999,15,0.8542427867650986,0.07523193359375,0.0071503255,66.16413116455078,140,0.2,-0.007657183777337195,127.94143409729004,0.9856303334236145,-4.217108669877052,0.0003
3570,36,131072,480.23,357.3534360599999,16,0.8772028461098671,0.0582763671875,0.008204507,60.55015182495117,150,0.2,-0.005386140772316139,110.68803219795227,0.9824458956718445,-4.208011248707772,0.0003
3566,39,139264,473.74,385.18019505999996,17,0.8581476509571075,0.059912109375,0.0069679795,72.32891082763672,160,0.2,-0.00507568315952085,163.61717643737794,0.9822432398796082,-4.2018593609333035,0.0003
3560,41,147456,448.73,385.4147824499999,18,0.8994568437337875,0.05989990234375,0.005709845,51.93537139892578,170,0.2,-0.005113213893491775,116.52388525009155,0.9788336753845215,-4.197302994132042,0.0003
3553,43,155648,426.13,385.23364256,19,0.8848451897501945,0.06005859375,0.00553835,68.87620544433594,180,0.2,-0.005109539645491168,146.48011684417725,0.9778309464454651,-4.190154075622559,0.0003
3548,46,163840,400.12,369.8689232600001,20,0.8721951693296432,0.04632568359375,0.0053323824,67.28683471679688,190,0.2,-0.004547064488724573,158.09317173957825,0.9787876009941101,-4.190010488033295,0.0003
3546,48,172032,401.65,379.39072174999995,21,0.8899545893073082,0.0532958984375,0.004957184,83.4078598022461,200,0.2,-0.004226404463406652,157.94325647354125,0.9761850833892822,-4.187127697467804,0.0003
3543,50,180224,381.48,354.36852982999994,22,0.897758275270462,0.05537109375,0.0051444154,69.55769348144531,210,0.2,-0.005732868335326202,165.58955760002135,0.9767042994499207,-4.184131383895874,0.0003
3542,53,188416,371.18,372.72982277000006,23,0.8744605034589767,0.05482177734375,0.0047950307,94.01049041748047,220,0.2,-0.005203584468108602,204.65418157577514,0.9740620255470276,-4.1802287846803665,0.0003
3539,55,196608,371.31,408.77754433999996,24,0.8481242656707764,0.05369873046875,0.0045560827,98.9559326171875,230,0.2,-0.004896987536631059,220.47143754959106,0.9699452519416809,-4.169815936684609,0.0003
3536,57,204800,351.41,417.7034581600001,25,0.8847914487123489,0.042138671875,0.006306311,96.40074920654297,240,0.2,-0.004143243801081553,179.9323703289032,0.9688601493835449,-4.161338922381401,0.0003
