rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/loss,train/n_updates
21.556253714285713,190.0,1,8192,4983,1,,,,,,,,,,,
75.06618114545454,260.3818181818182,3,16384,4107,2,-0.014164614742912817,0.0068703293800354,0.2,-4.266634947061538,0.010502345,0.0003,0.1302734375,101.52512578964233,1.0048719644546509,50.15726089477539,10
109.86998509333333,293.5733333333333,6,24576,3878,3,-0.01079806379857473,0.15525466203689575,0.2,-4.2726179480552675,0.007272357,0.0003,0.08414306640625,76.10349168777466,1.0040384531021118,33.96280288696289,20
140.22312846739132,329.2826086956522,8,32768,3776,4,-0.011375083119492046,0.0846632719039917,0.2,-4.272334417700767,0.0082530705,0.0003,0.0840087890625,109.58527407646179,1.0055688619613647,54.4441032409668,30
182.78157682999998,364.87,11,40960,3708,5,-0.006798562910989858,0.21158570051193237,0.2,-4.2762940436601635,0.005375729,0.0003,0.04271240234375,92.59937019348145,1.006568431854248,44.05936813354492,40
225.45581743999995,402.43,13,49152,3670,6,-0.007433183847024338,0.44229787588119507,0.2,-4.275933334231377,0.005843819,0.0003,0.05662841796875,112.20458841323853,1.0060478448867798,48.3741569519043,50
236.44642113000006,414.25,15,57344,3640,7,-0.00641668940661475,0.6333305239677429,0.2,-4.274825149774552,0.0057204477,0.0003,0.047607421875,93.33388781547546,1.005963921546936,39.395965576171875,60
253.15165114999996,432.38,18,65536,3619,8,-0.00812686041899724,0.684369295835495,0.2,-4.271667495369911,0.006219475,0.0003,0.05482177734375,107.23285174369812,1.0036541223526,48.056514739990234,70
251.30856079,428.35,20,73728,3609,9,-0.005763403502351138,0.7519327402114868,0.2,-4.262220320105553,0.00597831,0.0003,0.0573974609375,92.73187971115112,1.0002706050872803,40.16763687133789,80
259.6246879000001,441.67,22,81920,3599,10,-0.0072829425786039795,0.8046687245368958,0.2,-4.253291031718254,0.006890557,0.0003,0.06409912109375,105.70092387199402,0.9978234171867371,53.94482421875,90
265.55283685,464.37,25,90112,3585,11,-0.0042133871422265655,0.8205917477607727,0.2,-4.24727803170681,0.004919283,0.0003,0.03983154296875,102.62078766822815,0.9955613613128662,40.40376281738281,100
280.13076558,481.18,27,98304,3576,12,-0.004901793500175699,0.8692076951265335,0.2,-4.241891875863075,0.0053525986,0.0003,0.04544677734375,91.78623480796814,0.9944875836372375,44.56540298461914,110
291.23016398999994,489.31,29,106496,3569,13,-0.0055429209794965574,0.8973915278911591,0.2,-4.233614981174469,0.006117857,0.0003,0.06629638671875,76.94069046974182,0.9912459254264832,33.52821731567383,120
289.90930757999996,493.68,32,114688,3563,14,-0.006604421349766199,0.8900231942534447,0.2,-4.223468986153603,0.0062181097,0.0003,0.0666748046875,96.84269807338714,0.98762446641922,45.66432189941406,130
290.83819895,506.55,34,122880,3558,15,-0.005771563659072854,0.8906128033995628,0.2,-4.2144811928272246,0.0062528285,0.0003,0.05303955078125,96.96097121238708,0.9852878451347351,46.315528869628906,140
296.19815953000005,512.53,36,131072,3553,16,-0.007082019184599631,0.9042108654975891,0.2,-4.210227400064468,0.0076479595,0.0003,0.08082275390625,88.29958465099335,0.9847738146781921,31.317459106445312,150
283.90328208000005,492.74,39,139264,3549,17,-0.004737958042824175,0.9173249378800392,0.2,-4.206670778989792,0.006354089,0.0003,0.059814453125,75.64314963817597,0.9826130867004395,29.099220275878906,160
273.13207922000004,484.32,41,147456,3545,18,-0.006329530116636306,0.8951442316174507,0.2,-4.203177911043167,0.0071488954,0.0003,0.07723388671875,104.26685900688172,0.9836142659187317,45.39475631713867,170
276.94681208,494.92,43,155648,3541,19,-0.005268198792327894,0.90078404545784,0.2,-4.202344274520874,0.006042883,0.0003,0.06903076171875,87.87354385852814,0.981895923614502,36.06214141845703,180
277.68487910999994,476.95,46,163840,3538,20,-0.006276838087796932,0.8850336670875549,0.2,-4.1987644881010056,0.010950803,0.0003,0.0743896484375,115.949383354187,0.9807235598564148,43.893798828125,190
279.1297518,455.5,48,172032,3536,21,-0.005293148943019332,0.9147088080644608,0.2,-4.19529238641262,0.006863652,0.0003,0.06309814453125,106.63310384750366,0.979565441608429,44.992549896240234,200
286.20702776999997,433.18,50,180224,3534,22,-0.005337144165241625,0.8998175114393234,0.2,-4.189188703894615,0.0069889706,0.0003,0.06898193359375,130.9724422454834,0.9770913124084473,81.6553955078125,210
285.59399463,413.67,53,188416,3531,23,-0.0041976410444476645,0.9045436903834343,0.2,-4.1753482788801195,0.0056959093,0.0003,0.04976806640625,136.75045790672303,0.9705238342285156,64.89972686767578,220
285.27711838000005,394.89,55,196608,3529,24,-0.006081673539301846,0.8852045759558678,0.2,-4.1681684970855715,0.006351336,0.0003,0.07642822265625,134.69829454421998,0.9724276661872864,60.4974365234375,230
281.87798836,394.51,58,204800,3527,25,-0.008363205294881482,0.9047544449567795,0.2,-4.175322338938713,0.008601024,0.0003,0.077392578125,130.31596574783325,0.9746738076210022,53.595943450927734,240
