time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/learning_rate
1,1,8192,37.216899375,5009,209.59375,,,,,,,,,,,
3,2,16384,68.65762921153846,4135,268.71153846153845,1.005239486694336,0.2,0.010937244,95.43546948432922,10,-4.266938120126724,36.662620544433594,0.00045365095138549805,-0.013672122440766543,0.14063720703125,0.0003
6,3,24576,104.61420533802817,3907,313.46478873239437,1.0029972791671753,0.2,0.009820417,81.62036006450653,20,-4.270399260520935,38.04670715332031,0.09673500061035156,-0.011684369828435593,0.09927978515625,0.0003
8,4,32768,131.70819233333333,3791,341.76666666666665,1.0001953840255737,0.2,0.0084004495,86.53035020828247,30,-4.262754279375076,38.884765625,0.19030839204788208,-0.009977859593345784,0.0777099609375,0.0003
10,5,40960,170.91406522,3733,384.85,0.9964987635612488,0.2,0.005456145,119.52350130081177,40,-4.2523383051157,43.22189712524414,0.2193598747253418,-0.007420531591924373,0.04442138671875,0.0003
13,6,49152,213.81605840000003,3697,415.16,0.995466411113739,0.2,0.0062783062,95.23284187316895,50,-4.244806241989136,49.67622375488281,0.37911826372146606,-0.006238988449331373,0.0494384765625,0.0003
15,7,57344,239.02953426,3667,424.22,0.9947624206542969,0.2,0.0065299342,116.5033525466919,60,-4.241804635524749,52.96090316772461,0.48881083726882935,-0.0066075971801183185,0.0524169921875,0.0003
17,8,65536,259.41547847000004,3645,448.56,0.9940119385719299,0.2,0.0032648616,124.87815814018249,70,-4.24000943005085,50.36126708984375,0.5382976830005646,-0.004775496574802673,0.02525634765625,0.0003
20,9,73728,271.65959447,3629,441.59,0.993116557598114,0.2,0.007924244,90.05163602828979,80,-4.236840108036995,32.407474517822266,0.7660241723060608,-0.007396454753325088,0.0637451171875,0.0003
22,10,81920,251.28426157,3616,419.94,0.9921767711639404,0.2,0.0059146,108.99321341514587,90,-4.234318193793297,50.64022445678711,0.7944591194391251,-0.004466345266700955,0.03634033203125,0.0003
24,11,90112,259.82832661,3607,446.33,0.9890143275260925,0.2,0.005000701,112.57566604614257,100,-4.227399396896362,40.38610076904297,0.7845921814441681,-0.004505861960933544,0.04102783203125,0.0003
27,12,98304,262.31238942,3597,456.27,0.9899713397026062,0.2,0.006945766,92.85248160362244,110,-4.224200114607811,45.785770416259766,0.8388141989707947,-0.005467965628486127,0.0552001953125,0.0003
29,13,106496,265.03754248000007,3586,446.74,0.9894868731498718,0.2,0.0071075796,112.4634635925293,120,-4.224605220556259,53.76930618286133,0.8244589567184448,-0.008872709535353351,0.08238525390625,0.0003
32,14,114688,262.06171056,3581,446.12,0.9856509566307068,0.2,0.0077617094,107.5608479976654,130,-4.217505359649659,53.2078742980957,0.8629634082317352,-0.006816710963903461,0.07471923828125,0.0003
34,15,122880,269.98762824000005,3577,444.15,0.9858554005622864,0.2,0.006955471,94.29967226982117,140,-4.2121697306633,50.349143981933594,0.874535322189331,-0.0058844685161602685,0.05406494140625,0.0003
36,16,131072,279.42653994,3572,441.23,0.9843698143959045,0.2,0.006763219,137.13146681785582,150,-4.210417261719703,53.629112243652344,0.8432081341743469,-0.007480593197396956,0.0599365234375,0.0003
39,17,139264,286.72333025999995,3565,440.07,0.98641437292099,0.2,0.004982423,93.14897065162658,160,-4.211176747083664,44.742759704589844,0.9026070460677147,-0.005257551337126643,0.05052490234375,0.0003
41,18,147456,289.9998201700001,3560,436.84,0.9845598340034485,0.2,0.00529739,97.73956398963928,170,-4.211721393465996,51.48706817626953,0.8664286881685257,-0.006281861604657024,0.0728271484375,0.0003
43,19,155648,294.76237765,3554,445.93,0.9812953472137451,0.2,0.0064579407,102.64792151451111,180,-4.20386911034584,45.165916442871094,0.8953759893774986,-0.007796513113135006,0.07755126953125,0.0003
46,20,163840,303.46842997999994,3553,449.61,0.9792224764823914,0.2,0.008380185,83.2680668592453,190,-4.196622860431671,30.648212432861328,0.9277364835143089,-0.0056444874870067,0.069091796875,0.0003
48,21,172032,303.27842276999996,3550,440.25,0.9776935577392578,0.2,0.006255958,103.53850221633911,200,-4.189368537068367,47.13334655761719,0.9206405729055405,-0.006945725195691921,0.05784912109375,0.0003
50,22,180224,311.43921376,3546,449.99,0.9762384295463562,0.2,0.005399102,93.12736339569092,210,-4.1856141269207,39.80739212036133,0.9307007417082787,-0.0060477398576040285,0.05059814453125,0.0003
53,23,188416,319.64527684,3544,438.43,0.9733722805976868,0.2,0.008046087,103.36058893203736,220,-4.177451744675636,55.05290222167969,0.9284055009484291,-0.007539738124251016,0.098291015625,0.0003
55,24,196608,301.49012781,3541,400.9,0.9716566205024719,0.2,0.006410389,159.3380889892578,230,-4.171942669153213,96.6328125,0.8780640587210655,-0.00679120790809975,0.06424560546875,0.0003
57,25,204800,310.86728193,3540,383.32,0.9668739438056946,0.2,0.010229342,112.66719365119934,240,-4.16179247200489,44.07899856567383,0.9248807653784752,-0.006621953047942952,0.0850341796875,0.0003
