episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,248,-11.12,31,358,35.0,1,0,1,0.189,0.05,0.0,0.0
2,272,31.2,34,485,47.4,1,0,1,0.077,0.05,0.0,0.0
3,944,16.34,118,406,39.6,1,0,1,0.181,0.05,0.0,0.0
4,960,2.69,120,376,36.7,1,0,1,0.141,0.05,0.0,0.0
5,1072,29.41,134,409,39.9,1,0,1,0.163,0.05,0.0,0.0
6,1416,20.88,143,469,45.8,1,0,1,0.118,0.05,0.0,0.0
7,1552,-2.24,74,214,20.9,1,0,1,0.152,0.05,0.0,0.0
8,2520,55.68,315,473,46.2,1,0,1,0.168,0.05,0.0,0.0
9,3120,-32.83,390,287,28.0,1,0,1,0.125,0.05,0.0,0.0
10,3184,-4.78,83,356,34.8,1,0,1,0.163,0.05,0.0,0.0
11,3456,27.25,255,332,32.4,1,0,1,0.174,0.05,0.0,0.0
12,3456,20.52,42,214,20.9,1,0,1,0.141,0.05,0.0,0.0
13,3736,-32.3,273,211,20.6,1,0,1,0.144,0.05,0.0,0.0
14,3872,-13.44,86,329,32.1,1,0,1,0.187,0.05,0.0,0.0
15,4152,78.34,385,493,48.1,1,0,1,0.22,0.05,0.0,0.0
16,4152,-16.75,35,404,39.5,1,0,1,0.151,0.05,0.0,0.0
17,4528,-27.36,134,263,25.7,1,0,1,0.202,0.05,0.0,0.0
18,4800,75.72,600,373,36.4,1,0,0,2.841,0.05,0.0,0.0
19,5048,213.95,600,534,52.1,2,0,0,1.085,0.05,0.0,0.0
20,5608,-13.08,182,370,36.1,1,0,1,0.151,0.05,0.0,0.0
21,5744,185.8,600,577,56.3,1,0,0,1.655,0.05,0.0,0.0
22,5896,-59.67,270,427,41.7,1,0,1,0.192,0.05,0.0,0.0
23,6416,-58.31,202,268,26.2,1,0,1,0.193,0.05,0.0,0.0
24,6992,20.45,355,300,29.3,1,0,1,0.1,0.05,0.0,0.0
25,7568,31.23,144,410,40.0,1,0,1,0.132,0.05,0.0,0.0
26,8256,127.6,600,388,37.9,1,0,0,2.057,0.05,-0.0138,68.7207
27,9224,-15.81,121,204,19.9,1,0,1,0.149,0.05,-0.0138,68.7207
28,9328,52.24,600,465,45.4,1,0,0,2.466,0.05,-0.0138,68.7207
29,9848,105.9,600,359,35.1,1,0,0,2.51,0.05,-0.0138,68.7207
30,9968,-8.99,15,436,42.6,1,0,1,0.027,0.05,-0.0138,68.7207
31,10408,191.7,600,411,40.1,1,0,0,1.492,0.05,-0.0138,68.7207
32,10544,373.04,600,525,51.3,2,0,0,0.825,0.05,-0.0138,68.7207
33,10696,58.35,600,332,32.4,1,0,0,2.122,0.05,-0.0138,68.7207
34,11160,10.57,58,397,38.8,1,0,1,0.207,0.05,-0.0138,68.7207
35,11792,310.5,600,683,66.7,1,0,0,1.952,0.05,-0.0138,68.7207
36,12368,306.25,600,695,67.9,2,0,0,1.434,0.05,-0.0138,68.7207
37,13328,285.18,365,515,50.3,2,0,1,0.195,0.05,-0.0138,68.7207
38,13368,278.97,505,672,65.6,1,0,1,0.128,0.05,-0.0138,68.7207
39,13424,13.93,432,317,31.0,1,0,1,0.188,0.05,-0.0138,68.7207
40,14024,383.9,600,707,69.0,2,0,0,1.413,0.05,-0.0138,68.7207
41,14200,253.39,457,585,57.1,2,0,1,0.028,0.05,-0.0138,68.7207
42,14512,80.12,148,468,45.7,1,0,1,0.181,0.05,-0.0138,68.7207
43,15128,116.9,220,280,27.3,1,0,1,0.173,0.05,-0.0138,68.7207
44,15280,274.56,515,682,66.6,2,0,1,0.116,0.05,-0.0138,68.7207
45,15896,260.97,234,620,60.5,2,0,1,0.128,0.05,-0.0138,68.7207
46,16592,238.0,600,659,64.4,1,0,0,1.303,0.05,-0.013,95.8336
47,17168,254.05,600,675,65.9,2,0,0,1.322,0.05,-0.013,95.8336
48,17952,214.46,170,519,50.7,2,0,1,0.153,0.05,-0.013,95.8336
49,18224,122.9,600,397,38.8,1,0,0,2.338,0.05,-0.013,95.8336
50,18672,11.22,56,222,21.7,1,0,1,0.184,0.05,-0.013,95.8336
51,19000,250.9,600,649,63.4,1,0,0,2.325,0.05,-0.013,95.8336
52,19312,401.85,600,587,57.3,2,0,0,0.884,0.05,-0.013,95.8336
53,19560,278.05,535,575,56.2,2,0,1,0.172,0.05,-0.013,95.8336
54,19848,243.24,237,559,54.6,2,0,1,0.175,0.05,-0.013,95.8336
55,19928,201.44,600,605,59.1,2,0,0,0.933,0.05,-0.013,95.8336
56,20112,275.82,527,581,56.7,2,0,1,0.104,0.05,-0.013,95.8336
57,20672,178.5,209,571,55.8,2,0,1,0.19,0.05,-0.013,95.8336
58,21392,224.8,340,664,64.8,1,0,1,0.229,0.05,-0.013,95.8336
59,21784,165.32,242,541,52.8,2,0,1,0.172,0.05,-0.013,95.8336
60,21968,255.4,600,684,66.8,2,0,0,2.402,0.05,-0.013,95.8336
61,22576,279.72,408,595,58.1,2,0,1,0.18,0.05,-0.013,95.8336
62,22904,30.83,117,225,22.0,1,0,1,0.1,0.05,-0.013,95.8336
63,23160,252.12,221,525,51.3,2,0,1,0.06,0.05,-0.013,95.8336
64,24360,258.8,600,665,64.9,1,0,0,1.977,0.05,-0.013,95.8336
65,24728,297.39,600,684,66.8,2,0,0,1.247,0.05,-0.0109,112.5807
66,24912,308.4,600,515,50.3,2,0,0,1.154,0.05,-0.0109,112.5807
67,25280,14.99,69,210,20.5,1,0,1,0.131,0.05,-0.0109,112.5807
