rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/std,train/value_loss,train/policy_gradient_loss
190.0,8192,1,1,4932,21.556253714285713,,,,,,,,,,,
263.8181818181818,16384,2,4,4078,74.70547058181819,0.2,0.1295654296875,10,-4.294051316380501,0.0068703293800354,0.0003,49.98584747314453,0.011518225,1.0204976797103882,101.52483282089233,-0.013802196815959178
309.1388888888889,24576,3,6,3849,111.30378033333334,0.2,0.096484375,20,-4.337250375747681,0.16131800413131714,0.0003,32.62403106689453,0.009532457,1.0327883958816528,75.14139926433563,-0.011038691813882905
348.96629213483146,32768,4,8,3755,152.4723518539326,0.2,0.07818603515625,30,-4.369688758254052,0.03566807508468628,0.0003,45.70664978027344,0.008344707,1.0433807373046875,102.25678091049194,-0.010071795743715483
378.17,40960,5,11,3693,184.22924849,0.2,0.0599365234375,40,-4.40364371240139,0.20697152614593506,0.0003,42.95243453979492,0.0075473106,1.0558377504348755,94.84768905639649,-0.008115350591106107
410.72,49152,6,13,3650,224.43348462999998,0.2,0.06541748046875,50,-4.433363845944404,0.37349408864974976,0.0003,48.50889587402344,0.007088855,1.0652538537979126,115.35140748023987,-0.007892137847375125
435.11,57344,7,15,3626,252.95064227000003,0.2,0.0295166015625,60,-4.454133403301239,0.4531020522117615,0.0003,55.005435943603516,0.0040686196,1.0701987743377686,125.06443591117859,-0.004552603404590627
460.96,65536,8,18,3607,280.23686703,0.2,0.0484130859375,70,-4.468834540247917,0.6618243157863617,0.0003,36.30288314819336,0.0057642395,1.0764317512512207,92.6545979976654,-0.006358821089088451
474.64,73728,9,20,3593,282.42301897000004,0.2,0.0443115234375,80,-4.4873613029718395,0.799788624048233,0.0003,28.781246185302734,0.006627219,1.0838067531585693,67.28700895309449,-0.006730371764570009
478.68,81920,10,22,3580,279.73418347999996,0.2,0.0516357421875,90,-4.506412461400032,0.8196233063936234,0.0003,30.005094528198242,0.0043614274,1.0893607139587402,73.31860382556916,-0.003802281865500845
492.99,90112,11,25,3569,280.00498203,0.2,0.0687255859375,100,-4.522632697224617,0.8390828669071198,0.0003,34.937870025634766,0.006354205,1.0961065292358398,83.66764788627624,-0.007047516669263132
503.26,98304,12,27,3562,292.44650081,0.2,0.03931884765625,110,-4.541010984778405,0.7845170646905899,0.0003,42.9952392578125,0.005720217,1.10263192653656,124.15213193893433,-0.005162573367124423
479.85,106496,13,29,3553,278.66953811,0.2,0.04326171875,120,-4.558873999118805,0.8597110211849213,0.0003,55.162750244140625,0.0050693927,1.1093835830688477,99.99790720939636,-0.005708283650164958
451.43,114688,14,32,3546,265.53261832,0.2,0.052783203125,130,-4.5745501011610035,0.8094075322151184,0.0003,73.43045043945312,0.0069665685,1.1148916482925415,137.65667638778686,-0.005418980293325148
435.56,122880,15,34,3540,262.28248002,0.2,0.05943603515625,140,-4.596193382143975,0.8693340420722961,0.0003,34.6693000793457,0.006527974,1.1255700588226318,91.59555039405822,-0.006780764726136113
432.4,131072,16,37,3536,279.81521432,0.2,0.05604248046875,150,-4.619645616412162,0.9021611735224724,0.0003,34.539520263671875,0.0063872477,1.132104754447937,87.42111449241638,-0.006576527410652488
441.11,139264,17,39,3530,300.37986796000007,0.2,0.0562744140625,160,-4.634148371219635,0.8809503465890884,0.0003,59.186485290527344,0.007097378,1.136468768119812,116.70844597816468,-0.005645405721588758
409.43,147456,18,41,3526,292.58307386,0.2,0.07506103515625,170,-4.652425095438957,0.9074774906039238,0.0003,52.041446685791016,0.0060354313,1.1461700201034546,104.23991913795471,-0.007415189941821154
398.75,155648,19,44,3522,292.70260132,0.2,0.03623046875,180,-4.6768653184175495,0.864873081445694,0.0003,61.843746185302734,0.0044731973,1.1549185514450073,148.94120359420776,-0.004309353164717322
364.29,163840,20,46,3519,281.82274719,0.2,0.04881591796875,190,-4.694408801198006,0.9031977951526642,0.0003,58.083641052246094,0.006216579,1.1601383686065674,115.9558542728424,-0.005512549304694403
366.4,172032,21,48,3516,289.89726895,0.2,0.04832763671875,200,-4.710577157139778,0.9096212089061737,0.0003,57.951114654541016,0.0054168333,1.1668018102645874,141.22641324996948,-0.0048304779578757
360.51,180224,22,51,3515,303.07597139,0.2,0.047705078125,210,-4.734065505862236,0.9294259697198868,0.0003,34.58657455444336,0.0048110643,1.1789902448654175,121.08165950775147,-0.005090638261754066
389.28,188416,23,53,3513,328.4713366,0.2,0.0414794921875,220,-4.76324448287487,0.9141120165586472,0.0003,80.5265884399414,0.005247296,1.1889556646347046,150.34747996330262,-0.003846421469643246
394.62,196608,24,55,3511,345.76759466000004,0.2,0.052734375,230,-4.7820910811424255,0.9080802500247955,0.0003,71.8966293334961,0.00732053,1.1939396858215332,154.33318428993226,-0.005547658435534686
392.03,204800,25,58,3508,352.8644450300001,0.2,0.051171875,240,-4.800814688205719,0.9058282449841499,0.0003,69.78495025634766,0.004600835,1.2048550844192505,153.08698840141295,-0.004623969515523641
