time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss
4,0,3780,180.25,56.2813345,2960,,,,,
8,1,3748,227.5,27.331486374999997,4496,,,,,
12,1,3670,287.53846153846155,47.611027538461535,4800,,,,,
16,1,3608,276.6875,41.770207187500006,5296,,,,,
20,2,3525,257.6,32.29072955,7480,,,,,
24,2,3526,287.7083333333333,34.520985708333335,8592,,,,,
28,2,3546,308.25,23.745066607142856,9968,,,,,
32,4,2294,298.625,28.679878593749997,10720,0.0003,0.10000000149011612,-0.6967613641172647,64,4.092797819525003
36,5,1941,296.44444444444446,32.390252249999996,11248,0.0003,0.10000000149011612,-1.0037968307733536,128,5.1922442596405745
40,9,1394,280.3,34.488512725,12552,0.0003,0.10000000149011612,-3.2443318143486977,320,5.248763706535101
44,10,1248,273.97727272727275,52.32797699999999,13424,0.0003,0.10000000149011612,-4.858535125851631,416,5.544360384345055
48,16,963,284.5416666666667,66.50999535416666,16328,0.0003,0.10000000149011612,-11.945865452289581,768,5.045593079179525
52,19,889,297.71153846153845,79.71082050000001,17616,0.0003,0.10000000149011612,-14.891190767288208,928,4.493696980178356
56,26,782,319.30357142857144,96.21005633928571,20368,0.0003,0.10000000149011612,-20.908637583255768,1280,5.117706708610058
60,28,753,325.3666666666667,105.47503421666667,21352,0.0003,0.10000000149011612,-22.84411972761154,1408,5.619525372982025
64,32,710,342.53125,110.23489781250001,23296,0.0003,0.10000000149011612,-25.766045033931732,1632,6.521422788500786
68,39,659,344.20588235294116,113.08982658823528,26080,0.0003,0.10000000149011612,-29.567333340644836,1984,7.286192208528519
72,42,644,358.4166666666667,124.04451569444443,27216,0.0003,0.10000000149011612,-31.321773409843445,2144,6.96798649430275
76,49,617,371.13157894736844,129.3117866710526,30880,0.0003,0.10000000149011612,-35.19292902946472,2592,6.298453360795975
80,50,616,368.3125,126.8854354,31184,0.0003,0.10000000149011612,-35.49180507659912,2624,6.661414206027985
84,58,594,379.3452380952381,133.18944602380952,34768,0.0003,0.10000000149011612,-37.08536231517792,3072,6.434438124299049
88,62,580,389.375,138.07115968181816,35984,0.0003,0.10000000149011612,-36.682974219322205,3232,6.331304535269737
92,71,552,398.5326086956522,141.82847069565216,39568,0.0003,0.10000000149011612,-37.04129087924957,3680,7.193267315626144
96,75,541,401.5520833333333,141.45493916666666,40720,0.0003,0.10000000149011612,-37.277589082717896,3840,6.082852423191071
100,79,535,409.49,144.80929706999999,42496,0.0003,0.10000000149011612,-37.55111300945282,4032,7.520811602473259
104,87,521,426.28,147.72812949000001,45520,0.0003,0.10000000149011612,-37.746556997299194,4416,6.742360562086105
108,91,515,439.29,154.79515033,47296,0.0003,0.10000000149011612,-37.59205090999603,4640,7.192948758602142
