time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
3628,2016,4,37.00891475,0,193.0,,,,,
3270,4096,8,34.241069375,1,218.75,,,,,
3279,4800,12,41.696354750000005,1,301.75,,,,,
3360,6224,16,43.38449068749999,1,307.0,,,,,
3337,6432,20,33.9071291,1,288.55,,,,,
3389,8760,24,34.83344258333333,2,271.7916666666667,,,,,
2367,10344,28,47.25277821428572,4,307.42857142857144,32,5.065607134252787,0.0003,-1.0088607901707292,0.20000000298023224
1827,10824,32,45.053862249999995,5,295.75,96,4.789259377866983,0.0003,-1.7040982022881508,0.20000000298023224
1057,14264,36,57.35665944444444,13,314.8333333333333,512,3.957984358072281,0.0003,-8.231180638074875,0.20000000298023224
926,15464,40,86.31360385,16,330.1,672,3.8854973316192627,0.0003,-11.238520085811615,0.20000000298023224
887,15760,44,102.83765450000001,17,341.79545454545456,704,3.7132013104856014,0.0003,-11.907923609018326,0.20000000298023224
651,19896,48,119.07528158333332,30,350.4375,1216,4.445551924407482,0.0003,-20.555282413959503,0.20000000298023224
629,20512,52,136.4996576730769,32,369.63461538461536,1312,4.662258289754391,0.0003,-21.944654166698456,0.20000000298023224
586,24696,56,149.0394724107143,42,385.92857142857144,1824,4.689006693661213,0.0003,-26.155382573604584,0.20000000298023224
581,25312,60,148.26496726666664,43,400.2,1888,4.963500045239925,0.0003,-26.199042797088623,0.20000000298023224
572,26560,64,152.41969128124998,46,399.203125,2048,5.577747464179993,0.0003,-27.399422466754913,0.20000000298023224
558,28160,68,167.57324866176467,50,390.3382352941176,2240,5.155368871986866,0.0003,-28.702200174331665,0.20000000298023224
541,30464,72,172.44311501388887,56,393.8333333333333,2528,5.376554369926453,0.0003,-29.21843659877777,0.20000000298023224
533,31920,76,169.51041124999998,59,396.89473684210526,2720,6.535846069455147,0.0003,-30.275726079940796,0.20000000298023224
517,35096,80,174.7983677125,67,407.05,3136,6.038508579134941,0.0003,-30.64890307188034,0.20000000298023224
512,36720,84,178.73045289285716,71,416.23809523809524,3328,6.611171707510948,0.0003,-31.02957546710968,0.20000000298023224
509,38488,88,188.05357512499998,75,416.3863636363636,3552,6.545517139136791,0.0003,-31.122043788433075,0.20000000298023224
503,40248,92,189.67102954347826,79,418.0978260869565,3776,7.199096173048019,0.0003,-31.37191867828369,0.20000000298023224
494,42560,96,191.54552635416667,86,419.84375,4064,7.3936664164066315,0.0003,-32.294654846191406,0.20000000298023224
490,44696,100,195.86465308000004,91,427.05,4320,7.012634605169296,0.0003,-32.999103128910065,0.20000000298023224
480,46648,104,205.52586060999994,96,437.57,4576,7.507380962371826,0.0003,-32.959051072597504,0.20000000298023224
478,49312,108,216.66480726,103,451.75,4896,7.096941888332367,0.0003,-32.29353004693985,0.20000000298023224
