time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates,train/critic_loss
3636,0,1200,4,0.26089899999999977,89.5,,,,,
3711,0,3008,8,34.71481924999999,196.25,,,,,
3742,1,4944,12,59.752554083333315,265.4166666666667,,,,,
3714,1,6000,16,55.6480439375,296.0,,,,,
3715,2,7504,20,47.353083500000004,298.45,,,,,
3694,2,8360,24,44.13140733333333,282.6666666666667,,,,,
3676,2,8872,28,39.049860821428574,280.10714285714283,,,,,
3415,2,10152,32,39.156350343750006,273.8125,,,,,
2403,4,10632,36,40.56581830555556,263.05555555555554,0.0003,-1.340333230793476,0.20000000298023224,64,5.18335061147809
1668,7,12024,40,36.170981575,257.35,0.0003,-3.012809172272682,0.20000000298023224,224,6.107517186552286
1245,10,13672,44,52.90486704545454,270.4318181818182,0.0003,-7.121006980538368,0.20000000298023224,448,5.164617948234081
1022,15,15864,48,77.61749168749999,297.8958333333333,0.0003,-12.782887578010559,0.20000000298023224,704,4.920538168400526
873,20,18304,52,93.02214582692305,320.46153846153845,0.0003,-18.962234318256378,0.20000000298023224,1024,4.7536990493535995
796,25,20352,56,99.3847641607143,333.5357142857143,0.0003,-22.98659437894821,0.20000000298023224,1280,5.8491417318582535
736,31,22912,60,106.60814745000002,332.9,0.0003,-27.164034843444824,0.20000000298023224,1600,5.757886037230492
707,34,24552,64,115.2068345,349.59375,0.0003,-28.485934138298035,0.20000000298023224,1792,6.266114294528961
647,42,27712,68,125.47818333823528,364.3235294117647,0.0003,-31.271162033081055,0.20000000298023224,2208,6.254941686987877
629,46,29352,72,134.01048381944443,377.4166666666667,0.0003,-32.335529804229736,0.20000000298023224,2400,7.0205192267894745
607,53,32512,76,138.78499386842103,389.13157894736844,0.0003,-33.26370394229889,0.20000000298023224,2784,7.292419597506523
598,55,33336,80,137.65608634999998,386.175,0.0003,-33.648324370384216,0.20000000298023224,2912,6.007083535194397
589,58,34760,84,147.33041325,396.35714285714283,0.0003,-33.99048113822937,0.20000000298023224,3072,6.7272458374500275
570,66,38136,88,152.30749811363637,405.6136363636364,0.0003,-34.21937322616577,0.20000000298023224,3488,6.9240405559539795
561,70,39560,92,162.39636390217393,414.0652173913044,0.0003,-34.5563018321991,0.20000000298023224,3680,6.852680265903473
547,78,42936,96,163.18079029166665,421.8125,0.0003,-34.17252469062805,0.20000000298023224,4096,6.357844561338425
541,81,44360,100,162.23289351,428.94,0.0003,-34.54499274492264,0.20000000298023224,4288,7.010712876915932
535,87,46912,104,165.05344899,438.07,0.0003,-34.655728697776794,0.20000000298023224,4608,6.520762041211128
532,91,48552,108,172.61863607999996,449.95,0.0003,-34.841434836387634,0.20000000298023224,4800,7.819575555622578
