time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss
2871,8192,2,21.556253714285713,190.0,1,,,,,,,,,,,
2661,16384,6,81.13062901818182,275.7818181818182,2,40.642189025878906,0.2,-4.262692883610725,0.011750158,0.0068703293800354,-0.014646567197632975,1.0006986856460571,0.15865478515625,10,0.001,85.30538430213929
2702,24576,9,108.22156146835444,283.4177215189873,3,35.87847137451172,0.2,-4.250693780183792,0.010937609,0.21931076049804688,-0.012055432297347578,0.9978113174438477,0.1358642578125,20,0.001,77.98143792152405
2683,32768,12,136.47652968999998,311.35,4,42.13444900512695,0.2,-4.230034345388413,0.012737457,0.4030165672302246,-0.012048749932728243,0.9857129454612732,0.11214599609375,30,0.001,94.26584796905517
2705,40960,15,178.31782177000002,360.9,5,30.838191986083984,0.2,-4.21465565264225,0.008989154,0.5685437619686127,-0.012609155637619551,0.985659122467041,0.1147705078125,40,0.001,80.15789673328399
2718,49152,18,233.70998207999997,409.25,6,25.964004516601562,0.2,-4.208727687597275,0.01153178,0.7364760935306549,-0.007755163412366528,0.9849584698677063,0.10665283203125,50,0.001,67.99934675693513
2679,57344,21,250.47987621000001,422.38,7,32.21986770629883,0.2,-4.194712680578232,0.010316191,0.7727783024311066,-0.008089598808146548,0.9754859805107117,0.09200439453125,60,0.001,82.5470519542694
2655,65536,24,273.43993098,441.24,8,33.35909652709961,0.2,-4.170135942101479,0.008760781,0.8343895077705383,-0.008819327176024672,0.9695963859558105,0.10262451171875,70,0.001,84.38647961616516
2632,73728,28,280.48994616000004,461.5,9,35.00162124633789,0.2,-4.15505388379097,0.006983593,0.8935686126351357,-0.007622226666717325,0.9637367129325867,0.07470703125,80,0.001,80.76057963371277
2610,81920,31,293.84053379,476.5,10,39.07855224609375,0.2,-4.142918568849564,0.009787962,0.8794432505965233,-0.006511412419786211,0.9606871604919434,0.116259765625,90,0.001,83.19609658718109
2614,90112,34,280.72878828,469.68,11,25.86822509765625,0.2,-4.13435517847538,0.012575093,0.8884305655956268,-0.009612880654458422,0.9599788188934326,0.12847900390625,100,0.001,64.24353797435761
2629,98304,37,271.66180743,466.15,12,43.24599838256836,0.2,-4.1284104764461516,0.010453891,0.8914695307612419,-0.010460339199926238,0.9571447372436523,0.13404541015625,110,0.001,94.2738721370697
2637,106496,40,262.84579352000003,438.87,13,33.32204055786133,0.2,-4.115745249390602,0.008495284,0.8993477299809456,-0.006808646855643019,0.9509204030036926,0.09609375,120,0.001,85.33608045578003
2645,114688,43,264.34317701000003,420.14,14,56.97675323486328,0.2,-4.104016613960266,0.010906942,0.8991483449935913,-0.006764741979714018,0.9496762156486511,0.1077392578125,130,0.001,93.03486750125884
2592,122880,47,275.62081478000005,415.15,15,47.9426155090332,0.2,-4.079377627372741,0.010758281,0.8979469686746597,-0.006499690815689974,0.9361050724983215,0.1130126953125,140,0.001,102.28888754844665
2584,131072,50,292.40319552999995,388.75,16,45.88002395629883,0.2,-4.058277586102486,0.0067335144,0.9222413897514343,-0.00613720201945398,0.9360108375549316,0.1244140625,150,0.001,93.45635058879853
2580,139264,53,317.64122674,405.65,17,49.015716552734375,0.2,-4.060548180341721,0.009119676,0.89173673838377,-0.006210470147198066,0.9352800250053406,0.10166015625,160,0.001,118.74168605804444
2569,147456,57,337.9746546200001,413.36,18,28.875791549682617,0.2,-4.049887144565583,0.009539238,0.9301249980926514,-0.006430227047530934,0.9352989196777344,0.142626953125,170,0.001,80.31383917331695
2555,155648,60,349.16575284999993,409.64,19,43.59996032714844,0.2,-4.050307360291481,0.009443305,0.9040455743670464,-0.007014880939095747,0.9325075745582581,0.121728515625,180,0.001,121.18460791110992
2556,163840,64,363.84452927,399.16,20,56.6402587890625,0.2,-4.030674627423286,0.008910626,0.9101637974381447,-0.006160165749315638,0.9240765571594238,0.12252197265625,190,0.001,119.99577860832214
2569,172032,66,384.1445565699999,382.39,21,46.86931610107422,0.2,-4.016142216324806,0.010773392,0.9101387858390808,-0.006444951168668922,0.9216549396514893,0.115966796875,200,0.001,120.99991984367371
2580,180224,69,379.89115363,347.92,22,66.68153381347656,0.2,-4.00021505355835,0.011021797,0.9074125960469246,-0.007116928660252597,0.9150488376617432,0.11705322265625,210,0.001,141.75430812835694
2574,188416,73,387.95799550000004,314.51,23,59.60565948486328,0.2,-3.9797773569822312,0.010771809,0.9059808328747749,-0.006419342139270157,0.9098212122917175,0.12144775390625,220,0.001,151.83358221054078
2569,196608,76,392.95888772,287.77,24,58.28681945800781,0.2,-3.9794538050889967,0.0111066485,0.9191314354538918,-0.002416133091901429,0.9155548214912415,0.14913330078125,230,0.001,139.49311151504517
2581,204800,79,386.8505559899999,285.17,25,65.00425720214844,0.2,-3.9913888767361643,0.013224555,0.9231050163507462,-0.004083319421624765,0.915103018283844,0.15968017578125,240,0.001,137.87879166603088
