time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std
2,209.59375,1,4057,8192,37.216899375,,,,,,,,,,,
4,280.42857142857144,2,3427,16384,69.31935193877551,-4.269144871830941,0.001,26.854352951049805,0.00045365095138549805,10,0.010959654,0.2,-0.014527587362681515,79.40067100524902,0.1662353515625,1.0036101341247559
7,314.15492957746477,3,3165,24576,100.50912638028169,-4.252266329526901,0.001,31.11530303955078,0.25089699029922485,20,0.011075809,0.2,-0.01672842280822806,64.860187125206,0.1559814453125,0.9947843551635742
10,346.06666666666666,4,3001,32768,136.58130974444447,-4.233755338191986,0.001,37.49041748046875,0.4324689507484436,30,0.009306522,0.2,-0.012462833005702122,90.01082468032837,0.1123291015625,0.9907203316688538
13,364.72,5,2945,40960,167.46877625000002,-4.225323721766472,0.001,45.88972091674805,0.5413827002048492,40,0.010077402,0.2,-0.011489658434584271,101.76993012428284,0.09140625,0.9859412312507629
16,407.81,6,2905,49152,208.66398275000003,-4.203451415896415,0.001,56.09694290161133,0.6114352941513062,50,0.008402283,0.2,-0.00840777220291784,114.48794169425965,0.07962646484375,0.9788047671318054
20,425.92,7,2851,57344,247.34898542,-4.183900761604309,0.001,35.103084564208984,0.7320510745048523,60,0.005240317,0.2,-0.005976644473412307,89.0228704214096,0.09837646484375,0.9754980206489563
23,429.01,8,2795,65536,256.72874982999997,-4.174706736207009,0.001,44.926109313964844,0.8100760728120804,70,0.008973226,0.2,-0.007527112889511045,82.48537447452546,0.0999267578125,0.9710583090782166
26,448.77,9,2773,73728,268.07523187,-4.159897738695145,0.001,44.403682708740234,0.8341765403747559,80,0.006530774,0.2,-0.006608238983608317,96.19653038978576,0.0664306640625,0.9658210277557373
29,459.21,10,2733,81920,289.21547891,-4.141467034816742,0.001,39.86809539794922,0.8786396905779839,90,0.008904764,0.2,-0.007631150515226182,79.91099972724915,0.123193359375,0.9592080116271973
33,484.4,11,2706,90112,301.59888027000005,-4.124334886670113,0.001,39.54249572753906,0.8903087750077248,100,0.007842958,0.2,-0.009850317706877831,79.00612823963165,0.12669677734375,0.9554650783538818
36,488.56,12,2677,98304,315.44547922999993,-4.109173431992531,0.001,33.500152587890625,0.8985791653394699,110,0.008933991,0.2,-0.007206343638245016,83.84184551239014,0.08995361328125,0.9497801661491394
40,488.46,13,2650,106496,316.07276060000004,-4.089725744724274,0.001,38.00086212158203,0.9165934771299362,120,0.013251597,0.2,-0.009436421499412973,74.5343608379364,0.13895263671875,0.94230055809021
43,489.25,14,2661,114688,328.3752388099999,-4.071934214234352,0.001,41.26609802246094,0.8952292278409004,130,0.011236139,0.2,-0.005810088271391578,89.26156549453735,0.10477294921875,0.9386255145072937
45,488.89,15,2677,122880,329.4669828,-4.060129708051681,0.001,64.478515625,0.9083055481314659,140,0.007926121,0.2,-0.006417051801690832,102.77486071586608,0.128564453125,0.9361915588378906
48,464.55,16,2694,131072,311.2377465300001,-4.0458967924118046,0.001,25.715246200561523,0.9363838955760002,150,0.008889258,0.2,-0.006184834423766006,66.70741617679596,0.12281494140625,0.9297323822975159
51,460.86,17,2709,139264,302.95562067,-4.02010064125061,0.001,37.829261779785156,0.9243478178977966,160,0.013629459,0.2,-0.005987808770441916,99.53093886375427,0.1250244140625,0.9197204113006592
54,468.8,18,2720,147456,303.1573773799999,-4.005364567041397,0.001,32.24198532104492,0.9270816370844841,170,0.009996926,0.2,-0.00609144021582324,77.50428099632263,0.14715576171875,0.9199407696723938
57,478.15,19,2730,155648,295.01880865,-3.9897068619728087,0.001,30.610437393188477,0.9422517940402031,180,0.008707106,0.2,-0.005801606498425827,65.40948355197906,0.138916015625,0.913054883480072
59,490.95,20,2737,163840,301.64644205,-3.9758809551596643,0.001,29.409114837646484,0.9475459381937981,190,0.011834756,0.2,-0.006348669407452689,63.957375288009644,0.12802734375,0.9084154963493347
62,475.14,21,2745,172032,289.41837882999994,-3.9597680658102035,0.001,37.91676330566406,0.9319199100136757,200,0.0064587714,0.2,-0.003795109214843251,76.65803599357605,0.13677978515625,0.9044861197471619
65,461.94,22,2751,180224,264.70683317000004,-3.9597642332315446,0.001,44.48835754394531,0.9267872199416161,210,0.014423588,0.2,-0.00209546009573387,75.1556988477707,0.20438232421875,0.9069561958312988
68,452.79,23,2757,188416,264.67723875,-3.9471980363130568,0.001,34.00626754760742,0.9107780158519745,220,0.025045125,0.2,-0.006224537683010567,86.44154226779938,0.1836181640625,0.90020751953125
71,441.43,24,2756,196608,268.42367679,-3.9039844065904616,0.001,27.167104721069336,0.9507092088460922,230,0.011638461,0.2,-0.004523786570644006,55.89059727191925,0.1920654296875,0.8858685493469238
74,431.24,25,2762,204800,259.0166299,-3.89809922426939,0.001,28.959285736083984,0.959535114467144,240,0.019407103,0.2,-0.002895821562560741,42.24242407083511,0.2064453125,0.8915705680847168
