episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,144,-22.55,18,329,32.1,1,0,1,0.188,0.0,0.0,0.0
2,720,-11.1,90,192,18.8,1,0,1,0.177,0.0,0.0,0.0
3,800,50.58,100,504,49.2,1,0,1,0.179,0.0,0.0,0.0
4,1200,-15.89,150,283,27.6,1,0,1,0.166,0.0,0.0,0.0
5,2072,6.51,259,444,43.4,1,0,1,0.197,0.0,0.0,0.0
6,2504,135.02,313,547,53.4,2,0,1,0.169,0.0,0.0,0.0
7,2832,86.64,264,439,42.9,1,0,1,0.195,0.0,0.0,0.0
8,3008,48.5,376,404,39.5,1,0,1,0.162,0.0,0.0,0.0
9,3720,151.86,206,575,56.2,1,0,1,0.172,0.0,0.0,0.0
10,4680,7.5,209,373,36.4,1,0,1,0.154,0.0,0.0,0.0
11,4800,109.25,600,507,49.5,1,0,0,1.396,0.0,0.0,0.0
12,4944,170.7,600,380,37.1,1,0,0,2.472,0.0,0.0,0.0
13,5200,3.82,32,440,43.0,1,0,1,0.175,0.0,0.0,0.0
14,5384,11.57,319,397,38.8,1,0,1,0.205,0.0,0.0,0.0
15,5600,76.95,600,480,46.9,1,0,0,1.394,0.0,0.0,0.0
16,6000,81.0,600,527,51.5,1,0,0,1.399,0.0,0.0,0.0
17,6672,44.76,369,426,41.6,1,0,1,0.062,0.0,0.0,0.0
18,7280,3.49,76,194,18.9,1,0,1,0.164,0.0,0.0,0.0
19,7304,3.17,600,456,44.5,1,0,0,1.542,0.0,0.0,0.0
20,7504,5.27,188,397,38.8,1,0,1,0.173,0.0,0.0,0.0
21,7560,-16.83,32,178,17.4,1,0,1,0.209,0.0,0.0,0.0
22,7720,42.19,365,417,40.7,1,0,1,0.214,0.0,0.0,0.0
23,8304,13.67,73,225,22.0,1,0,1,0.146,0.0,0.0,0.0
24,8360,73.06,345,511,49.9,1,0,1,0.187,0.0,0.0,0.0
25,8640,-3.73,430,444,43.4,1,0,1,0.157,0.0,0.0,0.0
26,8704,25.41,415,428,41.8,1,0,1,0.129,0.0,0.0,0.0
27,8704,-8.86,150,196,19.1,1,0,1,0.139,0.0,0.0,0.0
28,8872,21.42,64,455,44.4,1,0,1,0.199,0.0,0.0,0.0
29,9040,109.18,92,505,49.3,1,0,1,0.219,0.0,0.0,0.0
30,9408,1.94,46,341,33.3,1,0,1,0.188,0.0,0.0,0.0
31,9480,32.4,600,417,40.7,1,0,0,1.364,0.0,0.0,0.0
32,10152,16.09,181,304,29.7,1,0,1,0.208,0.0,0.0,0.0
33,10200,177.51,330,571,55.8,1,0,1,0.167,0.0,0.0,0.0
34,10312,35.53,209,447,43.7,1,0,1,0.206,0.0,-4.1895,7.1609
35,10424,22.8,393,409,39.9,1,0,1,0.097,0.0,-4.1895,7.1609
36,10512,-13.09,25,183,17.9,1,0,1,0.168,0.0,-5.2495,5.7834
37,10728,8.48,156,443,43.3,1,0,1,0.1,0.0,0.0,0.0
38,11304,49.03,325,486,47.5,1,0,1,0.102,0.0,-7.751,7.2169
39,11368,-41.08,245,265,25.9,1,0,1,0.205,0.0,-7.751,7.2169
40,11992,4.71,185,382,37.3,1,0,1,0.187,0.0,-9.403,5.9322
41,12256,63.86,119,350,34.2,1,0,1,0.174,0.0,-10.2471,5.4316
42,12752,177.36,325,545,53.2,2,0,1,0.194,0.0,-12.0463,6.2058
43,13672,250.1,600,516,50.4,2,0,0,0.854,0.0,-15.7942,5.9696
44,14680,176.68,303,497,48.5,1,0,1,0.186,0.0,-19.4367,4.4168
45,15000,302.7,600,557,54.4,2,0,0,0.952,0.0,-20.3686,4.7397
46,15224,321.56,600,689,67.3,2,0,0,1.747,0.0,-20.9775,4.7887
47,15528,460.03,600,821,80.2,3,0,0,1.32,0.0,-21.9452,4.9157
48,16168,595.6,600,902,88.1,4,0,0,1.357,0.0,-24.4113,3.8489
49,16320,364.28,165,836,81.6,3,0,1,0.114,0.0,0.0,0.0
50,16792,548.2,600,817,79.8,3,0,0,2.369,0.0,-25.8328,4.6313
51,17552,441.46,600,775,75.7,2,0,0,2.259,0.0,-27.702,4.4944
52,18472,232.63,600,695,67.9,2,0,0,1.868,0.0,-30.2314,4.227
53,19032,352.77,544,856,83.6,3,0,1,0.13,0.0,-31.4352,4.3846
54,19056,244.29,361,759,74.1,2,0,1,0.172,0.0,-31.4352,4.3846
55,19384,72.67,44,515,50.3,1,0,1,0.171,0.0,-32.0401,4.2789
56,20024,348.69,600,755,73.7,3,0,0,1.504,0.0,-33.5384,4.5887
57,20328,389.09,600,763,74.5,3,0,0,1.741,0.0,-33.9855,4.5444
58,20640,167.5,77,750,73.2,2,0,1,0.173,0.0,-34.4432,4.7787
59,21120,436.61,600,954,93.2,4,0,0,1.575,0.0,-35.2971,4.9862
60,21592,295.77,600,805,78.6,2,0,0,0.831,0.0,-36.0297,4.4903
61,22352,277.59,600,818,79.9,3,0,0,1.129,0.0,-37.1663,5.0602
62,23272,417.53,600,998,97.5,4,0,0,1.921,0.0,-37.9523,4.9018
63,23856,334.1,600,793,77.4,2,0,0,2.034,0.0,-38.5623,4.8626
64,24184,248.69,600,910,88.9,3,0,0,1.842,0.0,-39.0921,5.0504
65,25128,494.61,600,1017,99.3,5,0,0,1.877,0.0,-40.0744,4.7521
66,25440,328.29,600,812,79.3,3,0,0,1.845,0.0,-40.085,4.6061
67,25920,243.11,600,813,79.4,2,0,0,1.924,0.0,-40.6096,5.1859
68,26392,202.69,600,800,78.1,2,0,0,1.995,0.0,-41.0247,5.218
69,26848,52.23,215,308,30.1,1,0,1,0.142,0.0,-41.1934,4.8952
70,27152,196.23,600,795,77.6,2,0,0,1.039,0.0,-41.5734,4.5977
71,28072,175.1,600,783,76.5,2,0,0,1.442,0.0,-42.0696,5.5239
72,28656,395.9,600,814,79.5,3,0,0,1.364,0.0,-42.5964,4.7082
73,28984,260.64,600,887,86.6,4,0,0,1.933,0.0,-42.7742,5.3684
74,30240,290.51,600,905,88.4,5,0,0,1.04,0.0,-43.2619,5.1487
75,30720,206.43,600,738,72.1,2,0,0,1.699,0.0,-43.6858,5.4527
76,30992,168.53,94,456,44.5,2,0,1,0.198,0.0,-43.607,5.8083
77,31048,-19.79,7,414,40.4,1,0,1,0.206,0.0,0.0,0.0
78,31192,318.29,600,848,82.8,4,0,0,1.6,0.0,0.0,0.0
79,31648,285.91,600,791,77.2,3,0,0,1.658,0.0,-44.0661,6.2107
80,31952,363.52,600,920,89.8,4,0,0,0.573,0.0,-44.0909,7.5591
81,32736,469.3,583,1024,100.0,6,1,0,0.791,0.0,-44.5619,6.4725
82,32792,559.97,517,1024,100.0,6,1,0,1.79,0.0,-45.0868,6.5244
83,33080,137.17,236,509,49.7,2,0,1,0.097,0.0,-45.3039,6.429
84,33784,264.84,600,723,70.6,2,0,0,2.674,0.0,-45.6702,6.8816
85,34472,91.41,86,546,53.3,2,0,1,0.119,0.0,-45.7881,7.5165
86,35520,242.89,600,849,82.9,4,0,0,2.696,0.0,-45.7442,6.7162
87,35832,164.35,380,825,80.6,3,0,1,0.219,0.0,-45.5457,7.4467
88,35848,227.3,600,790,77.1,3,0,0,1.754,0.0,-45.5169,7.076
89,36448,257.61,600,757,73.9,4,0,0,0.815,0.0,-45.7481,7.7147
90,36752,190.76,600,778,76.0,3,0,0,2.3,0.0,-45.8335,7.4602
91,37456,499.44,203,1023,99.9,6,1,0,1.125,0.0,-46.0,7.0702
92,37536,326.27,600,783,76.5,4,0,0,0.861,0.0,-46.0,7.0702
93,37880,68.9,600,512,50.0,2,0,0,1.177,0.0,-45.767,7.0777
94,37992,111.04,155,542,52.9,2,0,1,0.202,0.0,-45.9232,7.3069
95,39136,265.36,336,924,90.2,5,0,1,0.207,0.0,-45.9774,7.3961
96,39192,78.45,590,619,60.4,3,0,1,0.011,0.0,-45.8734,6.9401
97,39216,578.2,421,1024,100.0,6,1,0,1.01,0.0,0.0,0.0
98,39256,-11.14,467,543,53.0,3,0,1,0.196,0.0,0.0,0.0
99,39472,81.77,35,713,69.6,2,0,1,0.201,0.0,-45.961,7.5826
100,39576,96.55,40,727,71.0,2,0,1,0.121,0.0,-45.961,7.5826
101,39656,193.37,275,611,59.7,3,0,1,0.142,0.0,0.0,0.0
102,39768,87.76,37,707,69.0,2,0,1,0.215,0.0,-46.0921,8.7721
103,39912,271.6,240,871,85.1,4,0,1,0.182,0.0,-46.0921,8.7721
104,39920,98.82,43,749,73.1,2,0,1,0.091,0.0,-46.0921,8.7721
105,40072,87.87,38,703,68.7,2,0,1,0.212,0.0,-46.6536,8.979
106,40384,115.42,313,557,54.4,3,0,1,0.08,0.0,-46.0463,7.6764
107,40440,117.76,98,524,51.2,2,0,1,0.187,0.0,-46.0463,7.6764
108,40672,270.27,182,859,83.9,4,0,1,0.185,0.0,-46.0074,7.7723
109,40688,131.74,194,549,53.6,3,0,1,0.202,0.0,0.0,0.0
110,40704,1.64,396,549,53.6,3,0,1,0.177,0.0,0.0,0.0
111,42272,291.79,198,947,92.5,5,0,1,0.205,0.0,-45.925,9.4209
112,44712,258.36,600,855,83.5,4,0,0,1.495,0.0,-44.5812,7.1956
113,44720,262.18,600,860,84.0,4,0,0,1.325,0.0,0.0,0.0
114,44872,140.61,600,529,51.7,3,0,0,2.125,0.0,-44.0857,7.2522
115,45032,42.7,40,463,45.2,1,0,1,0.09,0.0,-44.0857,7.2522
116,45184,83.67,600,552,53.9,3,0,0,0.845,0.0,-44.4823,9.16
117,45208,81.01,42,505,49.3,2,0,1,0.102,0.0,0.0,0.0
118,45240,73.88,600,556,54.3,3,0,0,0.911,0.0,0.0,0.0
119,45400,104.88,46,498,48.6,2,0,1,0.048,0.0,-44.4902,9.167
120,45416,14.44,26,218,21.3,1,0,1,0.155,0.0,-44.4902,9.167
121,45472,266.65,600,926,90.4,5,0,0,0.415,0.0,0.0,0.0
122,45504,175.72,600,802,78.3,4,0,0,0.452,0.0,0.0,0.0
123,45512,4.31,34,217,21.2,1,0,1,0.123,0.0,0.0,0.0
124,45768,52.76,37,434,42.4,1,0,1,0.177,0.0,-44.5432,8.4401
125,45792,81.67,47,475,46.4,1,0,1,0.043,0.0,0.0,0.0
126,45840,119.31,55,509,49.7,2,0,1,0.076,0.0,-44.739,9.399
127,47072,221.74,600,937,91.5,5,0,0,0.222,0.0,-44.4786,9.621
128,47488,88.2,52,513,50.1,2,0,1,0.196,0.0,-44.1631,9.077
129,49520,-11.38,600,490,47.9,2,0,0,1.095,0.0,-44.2052,9.6735
130,49984,115.54,600,523,51.1,3,0,0,1.37,0.0,-43.5885,8.0043
