time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss
1,8192,21.50270192,1,224.2,4228,,,,,,,,,,,
4,16384,73.74235380392157,2,282.70588235294116,3384,0.009264285,-4.254519322514534,0.0001,-0.0017156600952148438,0.9982171058654785,0.09141845703125,0.2,73.90495405197143,33.33769226074219,10,-0.012475207462557591
7,24576,114.61789779729729,3,308.7567567567568,3317,0.00788468,-4.248213294148445,0.0001,0.030969977378845215,0.9954092502593994,0.04111328125,0.2,111.14371266365052,46.65200424194336,20,-0.008374456653837115
9,32768,142.39152833333333,4,332.1111111111111,3317,0.008723782,-4.241850206255913,0.0001,0.013624489307403564,0.9941673278808594,0.06419677734375,0.2,120.92809691429139,54.06401443481445,30,-0.009203396561497356
12,40960,191.81814622000002,5,379.09,3153,0.005289464,-4.2382600665092465,0.0001,0.024306118488311768,0.9934045672416687,0.03568115234375,0.2,143.4769612789154,72.50851440429688,40,-0.0058279834280256185
16,49152,234.52625256999997,6,408.34,3068,0.003824848,-4.235279220342636,0.0001,0.0387607216835022,0.9917552471160889,0.0181640625,0.2,136.40126390457152,65.85594177246094,50,-0.004471762130560819
18,57344,252.85066644,7,416.58,3039,0.004507339,-4.23053123652935,0.0001,0.07778453826904297,0.9904645085334778,0.0289794921875,0.2,145.7884048938751,60.671966552734375,60,-0.005614123352279421
21,65536,275.06815716999995,8,441.35,3035,0.0035379198,-4.2269840896129605,0.0001,0.16682159900665283,0.9897637963294983,0.0249267578125,0.2,152.69213457107543,73.9642562866211,70,-0.003986075417924439
24,73728,286.92411979999997,9,449.06,3026,0.0042330413,-4.224941745400429,0.0001,0.27328890562057495,0.9890130162239075,0.02884521484375,0.2,140.26293454170226,63.90198516845703,80,-0.0049349079752573745
27,81920,296.29336673,10,466.86,3029,0.004539597,-4.222709825634956,0.0001,0.3585924506187439,0.9884347915649414,0.020849609375,0.2,139.22665462493896,60.8873291015625,90,-0.00414566145700519
29,90112,302.48752057999997,11,477.06,3054,0.006293687,-4.220875209569931,0.0001,0.3175063133239746,0.9877572059631348,0.04410400390625,0.2,134.1288519382477,63.342613220214844,100,-0.005775913098477759
32,98304,304.12380639,12,473.25,3065,0.0049594073,-4.218448388576507,0.0001,0.5681464374065399,0.9867849946022034,0.0281494140625,0.2,140.39964051246642,57.79938507080078,110,-0.005175718027749099
34,106496,314.98073681,13,480.6,3070,0.004637252,-4.217046791315079,0.0001,0.6424830555915833,0.9870932698249817,0.031884765625,0.2,150.54733409881592,75.7529525756836,120,-0.004434188737650402
37,114688,319.29073889000006,14,467.81,3077,0.0041137254,-4.217299324274063,0.0001,0.6740759015083313,0.986710250377655,0.0140869140625,0.2,165.10648918151855,78.60369873046875,130,-0.0030935428840166423
39,122880,311.87024699,15,432.7,3087,0.0030420858,-4.215773269534111,0.0001,0.757251963019371,0.9861631989479065,0.0205078125,0.2,148.95327658653258,72.19631958007812,140,-0.00352488374846871
42,131072,302.37833398,16,399.62,3104,0.0051191584,-4.214103075861931,0.0001,0.7625245004892349,0.9857180714607239,0.05716552734375,0.2,176.2487317085266,91.50291442871094,150,-0.006768020518939011
44,139264,293.27388275,17,361.3,3107,0.0055425577,-4.2119795143604275,0.0001,0.7989412695169449,0.9846705794334412,0.0535888671875,0.2,170.18550224304198,86.02820587158203,160,-0.00614147061278345
47,147456,295.72151378,18,369.03,3110,0.0050508957,-4.208916106820107,0.0001,0.7746888846158981,0.9838264584541321,0.0322998046875,0.2,212.26142663955687,94.14618682861328,170,-0.003560017782729119
49,155648,309.18131484,19,381.47,3114,0.0033416343,-4.206892043352127,0.0001,0.8694252967834473,0.9833993315696716,0.02530517578125,0.2,132.7276071548462,57.18798828125,180,-0.0029316341227968224
52,163840,309.75767826,20,383.46,3116,0.0050652027,-4.205260920524597,0.0001,0.8537774533033371,0.9825412631034851,0.02152099609375,0.2,152.79286789894104,65.15728759765625,190,-0.0031747062887006903
55,172032,323.46340734999995,21,391.45,3120,0.005617691,-4.201777720451355,0.0001,0.8629133701324463,0.9812672734260559,0.04547119140625,0.2,151.606116104126,68.4544448852539,200,-0.004808402295748237
57,180224,353.02064544999996,22,420.07,3124,0.0042165034,-4.198557111620903,0.0001,0.8849233984947205,0.9803864359855652,0.02723388671875,0.2,146.79951791763307,72.99649047851562,210,-0.0038572031757212245
60,188416,374.98893275999995,23,402.17,3127,0.002830775,-4.195903581380844,0.0001,0.8739569336175919,0.9796406626701355,0.00780029296875,0.2,180.85980257987976,70.58724975585938,220,-0.0020267304476874414
62,196608,386.28409862999996,24,372.94,3132,0.004758309,-4.190788125991821,0.0001,0.8881928250193596,0.9768934845924377,0.03375244140625,0.2,181.76433305740358,92.9503173828125,230,-0.004222626124828821
65,204800,402.26638785999995,25,358.87,3137,0.0046790782,-4.185083955526352,0.0001,0.8760547861456871,0.9760623574256897,0.01986083984375,0.2,200.67798652648926,87.22429656982422,240,-0.0034175752778537573
