time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/explained_variance,train/std,train/approx_kl
8192,21.556253714285713,190.0,2,1,3051,,,,,,,,,,,
16384,76.96171855357143,260.9642857142857,6,2,2696,10,-4.261651769280434,0.0003,-0.014171241063741036,101.52503437995911,0.13125,0.2,50.17793655395508,0.0068703293800354,1.0022445917129517,0.010560518
24576,111.9749150625,285.125,9,3,2702,20,-4.259930875897408,0.0003,-0.012222745902545285,77.58430323600768,0.10030517578125,0.2,35.161659240722656,0.14851796627044678,0.9990885853767395,0.008726269
32768,149.32033153535352,312.3131313131313,11,4,2734,30,-4.248010152578354,0.0003,-0.009902771294582636,117.69291849136353,0.08148193359375,0.2,56.85295104980469,0.041166484355926514,0.9948377013206482,0.008601553
40960,194.54473337000002,365.36,14,5,2773,40,-4.240345048904419,0.0003,-0.009433553369308356,107.68182511329651,0.06280517578125,0.2,45.89863967895508,0.2210392951965332,0.9934423565864563,0.0064373016
49152,235.40429462,404.64,17,6,2806,50,-4.231616657972336,0.0003,-0.007308402787020896,103.91258935928344,0.05911865234375,0.2,44.18048858642578,0.48508721590042114,0.9887261390686035,0.0057334946
57344,260.56330959999997,423.27,20,7,2815,60,-4.21639438867569,0.0003,-0.006386941941309487,103.9482126712799,0.0414794921875,0.2,46.21680450439453,0.618901789188385,0.9837010502815247,0.0057631847
65536,285.50357304,451.76,23,8,2835,70,-4.204948604106903,0.0003,-0.005371702073898632,98.16071825027466,0.0408935546875,0.2,37.360321044921875,0.7412460446357727,0.9824520945549011,0.005709318
73728,300.11338713000004,476.92,25,9,2844,80,-4.202831071615219,0.0003,-0.006027278688998194,107.63514862060546,0.03819580078125,0.2,48.69978332519531,0.7633654773235321,0.9814863204956055,0.005044652
81920,292.80564608,484.23,28,10,2850,90,-4.20024222433567,0.0003,-0.005412378323671874,99.98800826072693,0.05257568359375,0.2,45.08192443847656,0.7925812155008316,0.9811715483665466,0.006119555
90112,291.92935945000005,492.11,31,11,2870,100,-4.194526544213295,0.0003,-0.00851198014934198,88.30845003128051,0.07860107421875,0.2,37.72951126098633,0.8516729176044464,0.9775421619415283,0.007449153
98304,304.60003858,489.4,34,12,2886,110,-4.187894529104232,0.0003,-0.005571496752963867,101.18919882774352,0.0481689453125,0.2,48.565589904785156,0.850308284163475,0.9777299761772156,0.0061031766
106496,313.80011456999995,494.73,36,13,2895,120,-4.186497163772583,0.0003,-0.006593397493998054,100.43458862304688,0.05946044921875,0.2,62.81641387939453,0.8802512660622597,0.9761454463005066,0.006510076
114688,296.71126695,468.83,39,14,2904,130,-4.177432483434677,0.0003,-0.007634498602419626,79.14978291988373,0.09532470703125,0.2,37.80000686645508,0.8840343132615089,0.9723529815673828,0.009176752
122880,298.88930075999997,463.5,42,15,2914,140,-4.169667053222656,0.0003,-0.005257323835394345,106.36420392990112,0.05440673828125,0.2,44.159034729003906,0.8696067482233047,0.9712169170379639,0.0065923156
131072,302.38145795,466.73,44,16,2924,150,-4.166411733627319,0.0003,-0.006149831383663695,100.40953793525696,0.06131591796875,0.2,43.99658966064453,0.8960756063461304,0.9694344997406006,0.0062795784
139264,287.86479424000004,435.26,47,17,2927,160,-4.156802639365196,0.0003,-0.00601912434285623,74.14517917633057,0.07589111328125,0.2,33.85226058959961,0.9243136271834373,0.965297520160675,0.007086506
147456,282.84768025,428.08,50,18,2933,170,-4.143813306093216,0.0003,-0.00446061488619307,111.76317229270936,0.05858154296875,0.2,52.195030212402344,0.9018790125846863,0.9616789817810059,0.007833917
155648,294.20600374,441.92,52,19,2941,180,-4.131416773796081,0.0003,-0.005050650624252739,122.65630755424499,0.0539794921875,0.2,52.85017776489258,0.9018886759877205,0.9570567607879639,0.008698957
163840,303.8703894899999,464.41,55,20,2946,190,-4.124361491203308,0.0003,-0.006483835900144186,75.82943274974824,0.0671875,0.2,34.45744323730469,0.9292203709483147,0.9572520852088928,0.0064214603
172032,314.69479211,468.56,58,21,2944,200,-4.113987836241722,0.0003,-0.004424881291924976,38.68176357746124,0.10223388671875,0.2,16.27182388305664,0.9592483453452587,0.9503137469291687,0.009627132
180224,315.36100497,457.68,61,22,2944,210,-4.097920143604279,0.0003,-0.004197463215677999,123.12209043502807,0.07606201171875,0.2,45.01603317260742,0.9020424410700798,0.9470228552818298,0.0047137393
188416,334.66201925999997,482.41,64,23,2943,220,-4.092164623737335,0.0003,-0.006698310833598953,77.28553297519684,0.08782958984375,0.2,32.8752555847168,0.945670735090971,0.9470393061637878,0.0076048644
196608,330.4973923199999,475.75,67,24,2934,230,-4.082912442088127,0.0003,-0.006884185165836243,92.46662223339081,0.08255615234375,0.2,52.483642578125,0.9443957880139351,0.9410281777381897,0.009256262
204800,321.92942395,440.87,69,25,2933,240,-4.06139566898346,0.0003,-0.007582315860781818,73.68514029979706,0.102880859375,0.2,41.97950744628906,0.95814373716712,0.9353000521659851,0.009336452
