policy,seed,episode,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed
random,7,1,-27.27,342,411,40.14,1,0,1
random,7,2,2.51,600,406,39.65,1,0,0
random,7,3,104.22,600,490,47.85,1,0,0
random,7,4,175.9,600,538,52.54,1,0,0
random,7,5,49.07,600,479,46.78,1,0,0
random,7,6,95.79,223,528,51.56,1,0,1
random,7,7,-5.61,35,194,18.95,1,0,1
random,7,8,-34.35,83,262,25.59,1,0,1
random,7,9,18.5,314,407,39.75,1,0,1
random,7,10,65.1,600,462,45.12,1,0,0
random,7,11,73.43,600,442,43.16,1,0,0
random,7,12,132.57,600,536,52.34,2,0,0
random,7,13,168.4,600,480,46.88,1,0,0
random,7,14,89.67,450,511,49.9,1,0,1
random,7,15,231.47,600,625,61.04,1,0,0
random,7,16,153.31,463,550,53.71,2,0,1
random,7,17,-74.1,264,263,25.68,1,0,1
random,7,18,-51.62,193,272,26.56,1,0,1
random,7,19,-11.96,120,211,20.61,1,0,1
random,7,20,-30.14,158,196,19.14,1,0,1
random,13,1,24.19,69,365,35.64,1,0,1
random,13,2,-64.7,431,277,27.05,1,0,1
random,13,3,49.94,290,451,44.04,1,0,1
random,13,4,152.53,235,517,50.49,1,0,1
random,13,5,61.16,158,501,48.93,1,0,1
random,13,6,-20.15,142,200,19.53,1,0,1
random,13,7,-7.76,30,203,19.82,1,0,1
random,13,8,21.62,113,215,21.0,1,0,1
random,13,9,43.9,237,428,41.8,1,0,1
random,13,10,237.9,600,505,49.32,1,0,0
random,13,11,219.3,600,568,55.47,2,0,0
random,13,12,5.7,73,201,19.63,1,0,1
random,13,13,-10.47,46,193,18.85,1,0,1
random,13,14,-18.21,156,429,41.89,1,0,1
random,13,15,-60.39,453,287,28.03,1,0,1
random,13,16,-19.08,160,193,18.85,1,0,1
random,13,17,19.7,600,321,31.35,1,0,0
random,13,18,26.45,169,421,41.11,1,0,1
random,13,19,17.24,61,399,38.96,1,0,1
random,13,20,39.32,129,403,39.36,1,0,1
random,42,1,28.85,344,433,42.29,1,0,1
random,42,2,148.6,600,527,51.46,1,0,0
random,42,3,57.53,201,501,48.93,1,0,1
random,42,4,107.48,455,555,54.2,1,0,1
random,42,5,9.94,167,487,47.56,1,0,1
random,42,6,164.26,544,533,52.05,2,0,1
random,42,7,42.28,600,506,49.41,1,0,0
random,42,8,141.8,214,505,49.32,2,0,1
random,42,9,135.32,311,507,49.51,1,0,1
random,42,10,-20.68,68,352,34.38,1,0,1
random,42,11,169.44,600,542,52.93,1,0,0
random,42,12,158.4,600,374,36.52,1,0,0
random,42,13,-55.7,227,269,26.27,1,0,1
random,42,14,153.67,600,571,55.76,1,0,0
random,42,15,-53.07,283,277,27.05,1,0,1
random,42,16,74.6,600,539,52.64,1,0,0
random,42,17,0.13,127,431,42.09,1,0,1
random,42,18,132.61,296,569,55.57,2,0,1
random,42,19,133.79,390,538,52.54,1,0,1
random,42,20,93.24,305,514,50.2,1,0,1
random,123,1,-14.84,65,362,35.35,1,0,1
random,123,2,-19.84,79,381,37.21,1,0,1
random,123,3,49.06,303,431,42.09,1,0,1
random,123,4,-12.72,103,419,40.92,1,0,1
random,123,5,121.2,600,367,35.84,1,0,0
random,123,6,34.43,85,463,45.21,1,0,1
random,123,7,24.45,285,470,45.9,1,0,1
random,123,8,-29.01,600,291,28.42,1,0,0
random,123,9,147.94,600,450,43.95,1,0,0
random,123,10,54.79,156,478,46.68,1,0,1
random,123,11,48.85,262,443,43.26,1,0,1
random,123,12,128.13,558,525,51.27,1,0,1
random,123,13,199.1,600,611,59.67,1,0,0
random,123,14,24.57,150,211,20.61,1,0,1
random,123,15,25.05,111,221,21.58,1,0,1
random,123,16,23.45,63,228,22.27,1,0,1
random,123,17,-21.88,124,358,34.96,1,0,1
random,123,18,1.58,116,437,42.68,1,0,1
random,123,19,137.93,600,456,44.53,1,0,0
random,123,20,4.98,201,221,21.58,1,0,1
random,2025,1,19.49,118,296,28.91,1,0,1
random,2025,2,-7.38,226,418,40.82,1,0,1
random,2025,3,-2.92,120,204,19.92,1,0,1
