train/learning_rate,time/total_timesteps,train/loss,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/exploration_rate
0.0001,11174,0.5892258882522583,7,100,293,111.74,1418,47.15178857,0.9292313333333332
0.0001,35529,3.0176401138305664,39,200,6382,243.55,904,193.94007303000006,0.7749829999999998
0.0001,51569,2.2836389541625977,61,300,10392,160.4,834,152.50041945,0.6733963333333335
0.0001,64515,1.9209145307540894,80,400,13628,129.46,803,109.75522709,0.5914050000000001
0.0001,86080,3.061708450317383,111,500,19019,215.65,769,240.51440085999994,0.4548266666666664
0.0001,106612,2.7306463718414307,142,600,24152,205.32,746,275.47845003,0.32479066666666645
0.0001,125397,6.662008285522461,171,700,28849,187.85,729,192.01425015999996,0.2058190000000002
0.0001,143696,3.9203853607177734,200,800,33423,182.99,716,148.5759771,0.08992533333333308
0.0001,171857,2.2913239002227783,246,900,40464,281.61,698,206.34144987999997,0.05
0.0001,220574,2.648179054260254,324,1000,52643,487.17,679,254.48924272,0.05
0.0001,257103,1.9116111993789673,383,1100,61775,365.29,671,298.74175157,0.05
0.0001,290836,2.225752115249634,437,1200,70208,337.33,664,270.04451926999997,0.05
0.0001,314389,1.6075454950332642,476,1300,76097,235.53,659,243.33865405,0.05
0.0001,345353,1.6001794338226318,526,1400,83838,309.64,656,291.0256742700001,0.05
0.0001,385670,2.3283472061157227,591,1500,93917,403.17,651,288.96161635,0.05
0.0001,424502,2.0923666954040527,654,1600,103625,388.32,649,307.50359898,0.05
0.0001,469240,1.5787396430969238,725,1700,114809,447.38,646,310.67761912,0.05
0.0001,503231,1.833608865737915,780,1800,123307,339.91,644,323.36528373,0.05
0.0001,534270,2.511603355407715,829,1900,131067,310.39,643,279.73021323999996,0.05
0.0001,572805,1.3790476322174072,892,2000,140701,385.35,641,266.09048552,0.05
0.0001,606263,1.7193162441253662,946,2100,149065,334.58,640,320.72572219,0.05
0.0001,640192,3.038839340209961,1000,2200,157547,339.29,639,337.24742962,0.05
0.0001,677783,2.5636894702911377,1060,2300,166945,375.91,638,324.9240491,0.05
0.0001,717778,0.9484150409698486,1124,2400,176944,399.95,638,303.60645014,0.05
0.0001,759651,2.0376338958740234,1192,2500,187412,418.73,637,293.66514285,0.05
0.0001,799597,1.838179588317871,1255,2600,197399,399.46,636,326.92765313,0.05
0.0001,840362,4.127446174621582,1322,2700,207590,407.65,635,323.99561525,0.05
0.0001,874806,1.4806499481201172,1377,2800,216201,344.44,635,313.31034490999997,0.05
0.0001,915307,3.4871273040771484,1442,2900,226326,405.01,634,301.80843120000003,0.05
0.0001,952175,1.8878114223480225,1503,3000,235543,368.68,633,293.32277622999993,0.05
0.0001,987584,1.6074206829071045,1560,3100,244395,354.09,632,257.00619656000003,0.05
