episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
1,23,-21.518,23,1,16.11
2,117,9.6621,94,1,35.16
3,245,18.3903,128,1,41.5
4,462,36.585,217,1,31.64
5,559,31.8303,97,1,43.36
6,647,78.3742,88,1,41.99
7,793,35.423,146,1,44.04
8,871,58.5929,78,1,42.38
9,921,11.363,50,1,19.34
10,1113,82.3215,192,1,47.95
11,1207,-7.125,94,1,41.8
12,1322,-4.5561,115,1,39.65
13,1375,31.0863,53,1,21.0
14,1465,77.5618,90,1,42.97
15,1602,67.5307,137,1,48.73
16,1774,55.1158,172,1,31.15
17,2112,175.3546,338,3,51.46
18,2272,212.1739,160,2,62.79
19,2323,-13.0423,51,1,39.55
20,2403,55.1092,80,1,46.58
21,2505,-48.3844,102,1,26.95
22,2829,118.3796,324,2,46.97
23,2909,-16.4289,80,1,26.56
24,3074,137.6169,165,1,40.43
25,3394,412.8332,320,3,74.02
26,3477,13.389,83,1,42.87
27,3526,-15.4511,49,1,18.75
28,3605,-13.4023,79,1,40.33
29,3690,-1.6493,85,1,26.95
30,3754,-0.2378,64,1,40.33
31,3790,27.8685,36,1,45.02
32,3876,-6.0622,86,1,35.16
33,4057,7.5276,181,1,30.47
34,4082,-3.7838,25,1,18.26
35,4143,-4.6398,61,1,36.62
36,4246,-30.4537,103,1,26.46
37,4344,-12.3327,98,1,42.29
38,4398,-30.1924,54,1,32.91
39,4622,15.4247,224,1,45.12
40,4776,152.1541,154,1,50.68
41,4835,-10.4087,59,1,41.11
42,4930,-22.5122,95,1,35.84
43,5108,150.8575,178,1,42.68
44,5474,284.321,366,2,69.24
45,5607,-42.117,133,1,25.88
46,5847,193.6288,240,2,49.51
47,5924,-33.4413,77,1,27.05
48,6002,94.1774,78,1,51.17
49,6257,143.9035,255,2,52.05
50,6362,11.0996,105,1,41.5
51,6385,-16.7804,23,1,33.59
52,6498,80.0081,113,1,47.95
53,6738,347.5616,240,2,53.22
54,6765,7.7201,27,1,43.26
55,6805,-8.7395,40,1,17.97
56,6854,45.7863,49,1,24.41
57,6976,84.5894,122,1,46.78
58,7070,8.4747,94,1,19.24
59,7292,233.0539,222,1,64.84
60,7358,60.0715,66,1,41.31
61,7429,-18.7045,71,1,19.53
62,7526,27.599,97,1,28.81
63,7628,-19.4362,102,1,19.04
64,7650,-0.7655,22,1,38.77
65,7690,23.9331,40,1,44.34
66,7788,-33.3813,98,1,26.86
67,7851,48.7767,63,1,22.75
68,8000,6.5306,149,1,43.07
69,8252,144.6215,252,3,51.95
70,8297,-3.3886,45,1,38.09
71,8362,-14.1332,65,1,41.8
72,8510,172.5407,148,1,61.04
73,8768,137.68,258,1,50.2
74,8784,-9.5836,16,1,41.89
75,8878,42.9939,94,1,44.04
76,8960,-6.2611,82,1,27.54
77,9162,88.0448,202,1,31.93
78,9434,194.0983,272,2,54.3
79,9541,-23.0312,107,1,19.73
80,9611,5.1803,70,1,34.96
81,9656,-6.0183,45,1,39.84
82,9750,60.562,94,1,44.73
83,9838,13.7578,88,1,38.18
84,9924,-11.9899,86,1,19.04
85,9967,-21.0515,43,1,39.45
86,10133,140.4947,166,1,50.49
87,10218,70.9449,85,1,49.51
88,10283,-15.1894,65,1,27.64
89,10406,1.1844,123,1,27.73
90,10535,143.6063,129,1,58.98
91,10651,160.767,116,1,65.04
92,10739,46.488,88,1,45.8
93,10788,-33.2961,49,1,25.78
94,10828,21.0481,40,1,43.75
95,10903,27.4382,75,1,46.29
96,11031,102.644,128,1,45.02
97,11068,-35.5889,37,1,25.39
98,11107,-11.6951,39,1,37.4
99,11129,-4.3924,22,1,20.51
100,11174,-1.5118,45,1,32.71
101,11261,3.7316,87,1,39.45
102,11367,-33.9017,106,1,25.78
103,11441,24.0347,74,1,39.94
104,11616,126.8414,175,2,49.71
105,11656,-15.6828,40,1,16.89
106,11730,15.3103,74,1,42.19
107,11753,8.3353,23,1,18.07
108,11880,252.1597,127,2,67.58
109,11971,-41.474,91,1,26.27
110,12311,135.7381,340,3,58.01
111,12528,252.1009,217,2,70.12
112,12646,20.0433,118,1,42.09
113,12685,-11.7054,39,1,34.28
114,12713,-7.3971,28,1,19.24
115,12780,-21.2079,67,1,18.46
116,12880,70.1859,100,1,23.93
117,12952,-33.0154,72,1,26.07
118,12980,-23.4586,28,1,16.31
119,13050,-18.5932,70,1,33.11
120,13136,77.4792,86,1,47.27
121,13423,119.3371,287,2,61.72
122,13570,193.2544,147,1,58.5
123,13629,3.3482,59,1,39.75
124,13650,-0.1409,21,1,19.14
125,13735,-9.9796,85,1,26.76
126,13755,-0.5658,20,1,40.43
127,14034,373.3109,279,2,73.73
128,14332,214.4454,298,2,55.37
129,14683,285.7036,351,2,79.1
130,15082,244.3705,399,3,73.83
131,15130,-6.4256,48,1,19.04
132,15196,-12.2697,66,1,26.17
133,15544,249.491,348,2,71.39
134,16021,425.3116,477,3,83.5
135,16136,-1.8304,115,1,42.38
136,16248,175.7344,112,2,51.86
137,16352,59.9132,104,1,47.75
138,16952,308.2191,600,2,75.29
139,17010,-21.0816,58,1,26.86
140,17033,-12.4388,23,1,19.34
141,17086,-0.4347,53,1,39.55
142,17260,169.3751,174,2,52.54
143,17606,449.4678,346,4,79.88
144,17671,38.7381,65,1,43.65
145,17769,32.9162,98,1,43.26
146,18369,459.8436,600,3,74.8
147,18439,5.0059,70,1,19.73
148,18776,374.11,337,2,77.15
149,19008,328.3911,232,2,72.66
150,19151,139.532,143,1,42.38
151,19335,176.6951,184,1,56.64
152,19833,459.3081,498,3,80.76
153,19851,-6.8815,18,1,19.73
154,20121,266.8822,270,2,59.28
155,20227,130.8383,106,1,48.63
156,20468,181.7784,241,1,57.32
157,20493,-6.7613,25,1,17.58
158,21093,635.2374,600,4,85.25
159,21583,616.94,490,4,91.6
160,21996,426.4425,413,3,78.71
161,22023,22.629,27,1,43.26
162,22107,3.2303,84,1,19.82
163,22134,31.1157,27,1,44.73
164,22202,-5.9943,68,1,19.34
165,22345,115.0324,143,1,51.17
166,22503,203.6984,158,2,54.49
167,22620,36.7579,117,1,41.31
168,23220,362.2,600,2,76.95
169,23587,404.5834,367,3,78.12
170,24187,718.3173,600,4,84.96
171,24474,295.1335,287,1,66.8
172,24579,0.6755,105,1,20.61
173,25063,386.6998,484,3,60.64
174,25663,497.4,600,3,81.84
175,26263,508.2829,600,4,93.75
176,26405,256.9826,142,2,66.21
