time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,train/loss
1345,0.0001,8,49.02653444,10931,100,232,0.9307703333333331,109.31,0.6598854064941406
779,0.0001,45,199.77498735,35377,200,6344,0.7759456666666668,244.46,1.1596887111663818
733,0.0001,73,160.62871704,53790,300,10947,0.65933,184.13,3.8033039569854736
722,0.0001,86,57.40529189,62290,400,13072,0.605496666666667,85.0,2.50323486328125
703,0.0001,112,160.972877,79288,500,17321,0.49784266666666654,169.98,5.3833417892456055
678,0.0001,159,274.57349073999995,108058,600,24514,0.3156326666666668,287.7,2.7318339347839355
652,0.0001,211,227.85297307000005,137862,700,31965,0.12687399999999982,298.04,4.687982559204102
643,0.0001,232,143.44718548,149396,800,34848,0.0538253333333335,115.34,7.088191986083984
636,0.0001,250,134.03593955,159630,900,37407,0.05,102.34,5.639708518981934
626,0.0001,281,187.75968730000005,176245,1000,41561,0.05,166.15,2.7430062294006348
609,0.0001,347,292.60402673,211804,1100,50450,0.05,355.59,3.5501837730407715
591,0.0001,428,314.77363979,253822,1200,60955,0.05,420.18,2.516995429992676
590,0.0001,492,283.0565987,290890,1300,70222,0.05,370.68,4.6745219230651855
592,0.0001,548,316.7568162,325238,1400,78809,0.05,343.48,6.226080894470215
593,0.0001,586,310.42673167,348365,1500,84591,0.05,231.27,2.7926998138427734
594,0.0001,620,313.75175054999994,368762,1600,89690,0.05,203.97,2.85400128364563
595,0.0001,645,294.38452854,384439,1700,93609,0.05,156.77,4.025524616241455
596,0.0001,670,291.40456365,399681,1800,97420,0.05,152.42,4.527121543884277
596,0.0001,697,325.18247322999997,416539,1900,101634,0.05,168.58,2.862010955810547
597,0.0001,725,315.71828313000003,433753,2000,105938,0.05,172.14,3.5762221813201904
597,0.0001,761,300.84822869999994,454895,2100,111223,0.05,211.42,6.10146427154541
598,0.0001,809,288.12139714,484430,2200,118607,0.05,295.35,6.3209123611450195
597,0.0001,872,306.63655283,521141,2300,127785,0.05,367.11,2.9628374576568604
596,0.0001,930,267.04181149,555436,2400,136358,0.05,342.95,4.55463981628418
597,0.0001,969,219.94011017999998,579151,2500,142287,0.05,237.15,5.020236968994141
597,0.0001,1007,220.03951593000005,602180,2600,148044,0.05,230.29,3.6780073642730713
598,0.0001,1045,205.78114257000001,625471,2700,153867,0.05,232.91,3.5265419483184814
598,0.0001,1076,196.75305991000005,644563,2800,158640,0.05,190.92,4.935080051422119
598,0.0001,1111,219.53160657,665610,2900,163902,0.05,210.47,7.71486759185791
599,0.0001,1160,264.02465333000004,696049,3000,171512,0.05,304.39,4.7163405418396
600,0.0001,1208,232.32916531999996,725211,3100,178802,0.05,291.62,3.309098243713379
600,0.0001,1249,213.50743775000004,749966,3200,184991,0.05,247.55,2.9546966552734375
600,0.0001,1287,207.95062755000004,773630,3300,190907,0.05,236.64,3.49906587600708
601,0.0001,1333,218.43359968000001,801869,3400,197967,0.05,282.39,3.5912582874298096
601,0.0001,1385,243.34632276999997,833145,3500,205786,0.05,312.76,4.464945316314697
601,0.0001,1457,299.51602197000005,876549,3600,216637,0.05,434.04,2.7247180938720703
602,0.0001,1518,338.4843541799999,914543,3700,226135,0.05,379.94,2.68188214302063
602,0.0001,1595,311.56010829,961041,3800,237760,0.05,464.98,2.273800849914551
