time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,train/learning_rate,time/total_timesteps,train/n_updates,train/loss,time/fps,rollout/ep_rew_mean
8,0.9291299999999998,111.9,100,0.0001,11190,297,0.4657578468322754,1374,48.16959902000001
42,0.766369666666667,256.99,200,0.0001,36889,6722,1.8449283838272095,866,201.93855709999997
65,0.6678293333333329,155.59,300,0.0001,52448,10611,4.845564842224121,806,145.30783868
76,0.6205636666666664,74.63,400,0.0001,59911,12477,2.100637674331665,787,62.091943220000005
91,0.557072,100.25,500,0.0001,69936,14983,2.3379173278808594,762,110.21088446000002
128,0.40819433333333366,235.07,600,0.0001,93443,20860,4.393526554107666,728,198.78028119999996
174,0.22736500000000026,285.52,700,0.0001,121995,27998,3.286825656890869,701,231.87090442999997
220,0.05,291.62,800,0.0001,151157,35289,3.82454252243042,685,218.91653540000004
283,0.05,387.07,900,0.0001,189864,44965,3.4925031661987305,670,300.96719705000004
350,0.05,415.37,1000,0.0001,231401,55350,1.4503912925720215,660,291.36432880999996
414,0.05,395.22,1100,0.0001,270923,65230,1.5384607315063477,654,255.73140461
478,0.05,396.83,1200,0.0001,310606,75151,1.7166264057159424,649,248.75493461
548,0.05,434.86,1300,0.0001,354092,86022,1.2943754196166992,645,292.01070529000003
602,0.05,326.64,1400,0.0001,386756,94188,1.3355709314346313,642,337.16418719
641,0.05,245.46,1500,0.0001,411302,100325,1.686543583869934,640,324.18455078000005
686,0.05,272.63,1600,0.0001,438565,107141,2.3203887939453125,639,285.15753306999994
744,0.05,353.93,1700,0.0001,473958,115989,2.492408275604248,637,309.48439532
791,0.05,290.82,1800,0.0001,503040,123259,2.123006820678711,635,368.18649216
862,0.05,436.83,1900,0.0001,546723,134180,2.311645746231079,633,312.25869486999994
933,0.05,433.5,2000,0.0001,590073,145018,1.3858892917633057,631,329.09384101
1004,0.05,437.37,2100,0.0001,633810,155952,2.0115206241607666,631,275.16334156000005
1066,0.05,381.55,2200,0.0001,671965,165491,3.2927305698394775,630,302.32170644999997
1135,0.05,431.47,2300,0.0001,715112,176277,1.6886670589447021,629,317.8463608
1201,0.05,400.59,2400,0.0001,755171,186292,4.126707553863525,628,302.83028487
1270,0.05,427.26,2500,0.0001,797897,196974,0.6623131036758423,627,284.47537737000005
1338,0.05,412.81,2600,0.0001,839178,207294,1.7930876016616821,627,300.99964053
1411,0.05,454.23,2700,0.0001,884601,218650,2.7122578620910645,626,310.00398189
1479,0.05,411.58,2800,0.0001,925759,228939,2.6850996017456055,625,372.0015604
1554,0.05,463.92,2900,0.0001,972151,240537,2.892627716064453,625,329.52001461
