#{"t_start": 1780251405.8839998, "env_id": "None"}
r,l,t,explored_voxels,visited_rooms
-72.7,1000,22.517914,14,2
-44.43,130,25.794814,3,1
-79.118,318,32.950408,6,1
-151.1,1000,54.32469,15,2
-71.286,186,58.753346,1,2
-62.632,132,62.037771,3,1
-42.284,84,64.319251,3,2
-107.627,227,69.602527,4,1
-91.3,1000,90.938345,13,1
-27.485,85,93.247351,2,2
-108.8,1000,114.559086,13,2
-88.108,208,119.425979,5,1
-144.2,1000,140.760892,14,1
-121.905,405,149.715392,6,1
-116.408,508,160.814664,5,1
-108.611,211,166.038819,3,1
-75.6,1000,187.379061,15,2
-17.486,86,189.753632,3,2
-165.4,1000,211.075872,17,1
-240.098,998,233.202209,13,1
-161.031,731,249.834514,14,2
-153.5,1000,272.419526,16,2
-93.167,767,289.948137,14,2
-93.471,171,294.267279,4,1
-109.293,393,303.49308,10,1
-113.591,391,312.686371,5,1
-36.8,1000,335.329802,13,3
-69.85,150,339.176102,4,1
-33.3,1000,361.799629,18,3
-37.7,1000,384.404915,19,3
-87.627,927,405.4355,16,2
-38.9,1000,428.084625,22,3
-74.4,1000,450.688672,12,2
-101.2,1000,473.355219,14,2
-58.177,277,480.011989,4,1
-65.025,525,492.452258,11,2
-36.479,779,510.236138,13,2
-59.4,1000,532.922858,22,2
-69.5,1000,555.662962,16,2
-41.466,166,559.880707,4,1
-51.7,1000,582.576737,19,3
-61.204,704,598.832961,15,2
-95.9,1000,621.546188,22,2
-67.3,1000,644.261146,18,2
-78.45,750,661.469101,19,3
-21.758,758,678.843684,24,2
-29.1,1000,701.629077,30,2
-30.2,1000,724.365841,29,2
-34.593,293,731.406785,6,1
-39.577,977,753.728217,27,3
-39.662,162,757.905977,3,1
-4.6,1000,780.729612,25,4
-41.764,864,800.509097,21,3
-15.2,1000,823.248937,29,3
-23.373,873,843.247241,24,3
-1.3,1000,866.036685,28,4
7.5,1000,888.865998,36,4
-6.6,1000,911.77919,25,4
-25.265,165,916.105667,5,1
-11.344,644,931.086971,23,2
-31.8,1000,953.983256,33,2
-9.1,1000,976.892338,35,3
-51.5,1000,999.744588,36,2
7.956,344,1007.936473,13,2
-3.5,1000,1030.805277,41,3
29.2,1000,1053.683245,33,4
-5.3,1000,1076.560296,38,3
-11.2,1000,1099.453564,39,3
13.041,459,1110.244758,15,3
60.3,1000,1133.191355,34,6
-22.451,151,1137.101282,4,1
11.446,654,1152.312562,21,4
10.9,1000,1175.241332,45,4
19.669,431,1185.434097,18,3
-0.95,450,1196.071598,16,2
56.3,1000,1219.003783,44,5
28.472,228,1224.702803,11,3
63.6,1000,1247.651538,37,6
10.649,651,1262.804761,30,3
-15.591,791,1281.113352,34,2
-1.8,1000,1304.137483,48,3
23.074,726,1321.051739,35,4
17.269,531,1333.585875,25,3
1.2,1000,1356.569451,48,3
15.9,1000,1379.599097,35,3
-28.926,126,1382.97555,4,1
11.573,427,1393.133483,18,3
-13.185,985,1415.831786,39,3
3.885,515,1427.967762,25,2
1.377,423,1438.055705,17,2
42.5,1000,1461.098237,51,4
1.71,390,1470.387656,17,2
12.0,1000,1493.457819,31,3
15.5,1000,1516.531725,51,4
-18.1,1000,1539.625883,30,3
52.7,1000,1563.045986,48,5
20.929,371,1572.117229,15,3
-19.7,1000,1595.447375,39,2
20.8,1000,1618.616487,39,3
28.742,358,1627.237556,20,3
39.7,1000,1650.3957,43,4
94.0,1000,1673.514017,51,7
45.7,1000,1696.639776,48,4
29.895,205,1701.816956,12,3
13.623,277,1708.618395,12,2
-13.7,1000,1731.758604,44,2
11.169,331,1739.818328,17,2
0.2,1000,1762.95378,43,3
23.7,1000,1786.096118,58,5
22.2,1000,1809.280335,63,3
42.317,383,1818.490582,21,4
26.3,1000,1841.708836,44,3
69.5,1000,1864.9195,56,5
75.0,1000,1888.139391,61,6
3.994,706,1904.685674,34,3
30.61,290,1911.794266,15,3
10.3,1000,1935.038894,39,4
17.728,372,1944.011945,19,3
-30.768,568,1957.410506,27,3
89.9,1000,1980.633606,70,7
21.773,527,1993.12885,16,4
34.673,327,2001.088152,23,3
20.739,261,2007.553112,17,2
13.954,346,2015.959904,15,3
16.701,399,2025.568364,26,2
